Hospital,Sim City,Patients,Total Billed,Billed per Patient,Billed per Encounter,Encounters per Patient,Rank by Total,Rank by Cost per Patient
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL  INC. (JAMAICA PLAIN, MA)",BOSTON,1910,78019588,40848,3431,11.9,247,217
"NORTH AUSTIN MEDICAL CENTER (PFLUGERVILLE, TX)",AUSTIN,1801,73500545,40811,4254,9.6,249,218
"BRIDGEPOINT -NATIONAL HARBOR (WASHINGTON, DC)",WASHINGTON DC,1168,47552650,40713,3937,10.3,292,219
"ARBOUR HOSPITAL  THE (QUINCY, MA)",BOSTON,1375,55415462,40302,3387,11.9,277,220
"SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC (PITTSBURG, PA)",PITTSBURGH,2174,86578649,39825,3091,12.9,239,221
"NORTHERN UTAH HEALTHCARE CORPORATION (SALT LAKE CITY, UT)",SALT LAKE CITY,1457,57801840,39672,3823,10.4,271,222
"TRISTAR SOUTHERN HILLS MEDICAL CENTER (NASHVILLE, TN)",NASHVILLE,5640,223223315,39579,3179,12.4,117,223
"HARTGROVE HOSPITAL (OAK PARK, IL)",CHICAGO,2210,86581036,39177,3414,11.5,238,224
"MEASE COUNTRYSIDE HOSPITAL (TAMPA, FL)",TAMPA,1250,48925747,39141,4048,9.7,288,225
"HEBREW SENIORLIFE AFFILIATED MEDICAL GROUP INC (ROSLINDALE, MA)",BOSTON,2302,89990461,39092,3318,11.8,230,226
"PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (CHICAGO, IL)",CHICAGO,6825,265961954,38969,3549,11.0,96,227
"HTI MEMORIAL HOSPITAL CORPORATION (NASHVILLE, TN)",NASHVILLE,4388,169975057,38736,3217,12.0,155,228
"LOYOLA GOTTLIEB MEMORIAL HOSPITAL (MELROSE PARK, IL)",CHICAGO,2507,97038792,38707,3386,11.4,224,229
"UH REGIONAL HOSPITALS (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,3004,115297504,38381,2543,15.1,198,230
"PRESENCE RESURRECTION MEDICAL CENTER (PARK RIDGE, IL)",CHICAGO,3157,119139312,37738,3746,10.1,194,231
"ADVOCATE NORTH SIDE HEALTH NETWORK (PARK RIDGE, IL)",CHICAGO,3010,111706566,37112,3183,11.7,200,232
"TRISTAR SKYLINE MEDICAL CENTER (NASHVILLE, TN)",NASHVILLE,4930,182869235,37093,2960,12.5,143,233
"VALLEY MEDICAL FACILITIES INC (PITTSBURGH, PA)",PITTSBURGH,1525,56490577,37043,3458,10.7,274,234
"TRISTAR ASHLAND CITY MEDICAL CENTER (ASHLAND CITY, TN)",NASHVILLE,3135,115563858,36862,3213,11.5,197,235
"ST JOSEPHS HOSPITAL (TAMPA, FL)",TAMPA,1263,46522621,36835,3730,9.9,295,236
"Fitchburg Outpatient Clinic (Fitchburg, MA)",BOSTON,3498,128457265,36723,4446,8.3,184,237
"HCA HEALTH SERVICES OF TENNESSEE  INC (ASHLAND CITY, TN)",NASHVILLE,2611,95450477,36557,2802,13.0,227,238
"OHIO VALLEY GENERAL HOSPITAL (MCKEES ROCKS, PA)",PITTSBURGH,1749,63651905,36393,3401,10.7,262,239
"SELECT SPECIALTY HOSPITAL-WYANDOTTE  LLC (WYANDOTTE, MI)",DETROIT,1500,53728890,35819,3052,11.7,280,240
"ROUND ROCK MEDICAL CENTER (ROUND ROCK, TX)",AUSTIN,2275,80513331,35390,3621,9.8,243,241
"REGENCY HOSPITAL OF CLEVELAND EAST (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,2985,105224358,35251,2551,13.8,211,242
"AHN EMERUS WESTMORELAND LLC (PITTSBURGH, PA)",PITTSBURGH,1487,52274428,35154,3371,10.4,282,243
"UNIVERSITY OF ILLINOIS HOSPITAL (CHICAGO, IL)",CHICAGO,6392,222820013,34859,3445,10.1,118,244
"OHIO VALLEY MEDICAL SERVICES INC (MCKEES ROCKS, PA)",PITTSBURGH,1785,61527263,34469,2931,11.8,264,245
"M & Y CARE LLC (LYNDHURST, OH)",CLEVELAND,28847,974963361,33798,4601,7.3,11,246
"HEALTHSOUTH HARMARVILLE REHABILITATION HOSPITAL (PITTSBURGH, PA)",PITTSBURGH,1476,49831779,33761,2645,12.8,285,247
"UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER (WESTLAKE, OH)",CLEVELAND,4400,143882411,32701,2587,12.6,172,248
"INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO (CHICAGO, IL)",CHICAGO,8962,288834919,32229,3339,9.7,89,249
"COMMUNITY OF HOPE  INC (WASHINGTON, DC)",WASHINGTON DC,7314,212815403,29097,4854,6.0,126,250
"CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHABILITATION (WESTLAKE, OH)",CLEVELAND,2495,71792863,28775,2799,10.3,251,251
"THE METROHEALTH SYSTEM (WESTLAKE, OH)",CLEVELAND,2451,68508428,27951,2491,11.2,253,252
"FAIRVIEW HOSPITAL (WESTLAKE, OH)",CLEVELAND,2416,66492854,27522,2583,10.7,257,253
"UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER (WESTLAKE, OH)",CLEVELAND,2444,64987223,26591,2502,10.6,260,254
"THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS (CHICAGO, IL)",CHICAGO,12803,252395018,19714,2678,7.4,102,255
"MEDSTAR WASHINGTON HOSPITAL CENTER (WASHINGTON, DC)",WASHINGTON DC,2547,47309772,18575,3543,5.2,293,256
"GEORGETOWN UNIVERSITY HOSP (WASHINGTON, DC)",WASHINGTON DC,3534,60504706,17121,3925,4.4,265,257
"SEASONS HOSPICE & PALLIATIVE CARE OF SOUTHERN FLORIDA  LLC (MIAMI, FL)",MIAMI,1067,17969640,16841,16030,1.1,415,258
"WILLOW PARK CONVALESCENT HOME (CLEVELAND, OH)",CLEVELAND,1518,22633354,14910,14226,1.0,377,259
"GREAT LAKES CARING HOSPICE C IL LLC (SPRINGFIELD, IL)",CHICAGO,1085,15353270,14150,13374,1.1,462,260
"NORTHSHORE UNIVERSITY HEALTHSYSTEM (SKOKIE, IL)",CHICAGO,1172,15946977,13607,12860,1.1,448,261
"UNITY HOSPICE OF CHICAGOLAND  LLC (CHICAGO, IL)",CHICAGO,2638,35863683,13595,12868,1.1,320,262
"TAMAYO URGENT CARE INC (MIAMI SHORES, FL)",MIAMI,3732,47066595,12612,1912,6.6,294,263
"LIFEPATH HOSPICE (TEMPLE TERRACE, FL)",TAMPA,1133,13503361,11918,7865,1.5,495,264
"FAIRWAY OAKS CENTER (TAMPA, FL)",TAMPA,1030,12113468,11761,5690,2.1,529,265
"MIAMI JEWISH HEALTH SYSTEMS  INC (MIAMI, FL)",MIAMI,1092,12839119,11757,5536,2.1,510,266
"MIAMI URGENT CARE PA (CORAL GABLES, FL)",MIAMI,5732,67270452,11736,1813,6.5,256,267
"VITAS HEALTHCARE CORPORATION OF ILLINOIS (CHICAGO, IL)",CHICAGO,2177,25233683,11591,9236,1.3,360,268
"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA SNF (SAN FRANCISCO, CA)",SAN FRANCISCO,3068,35226282,11482,6135,1.9,321,269
"FLORIDEAN NURSING AND REHABILITATION CENTER  THE (MIAMI, FL)",MIAMI,1483,16869203,11375,4888,2.3,432,270
"HOSPICE OF THE WESTERN RESERVE AT UNIVERSITY HOSPITALS LLC (CLEVELAND, OH)",CLEVELAND,3224,36340843,11272,10660,1.1,319,271
"JUDSON HOME CARE (CLEVELAND, OH)",CLEVELAND,2178,24389360,11198,10674,1.0,368,272
"MCGREGOR AT OVERLOOK (CLEVELAND, OH)",CLEVELAND,2757,30860474,11193,10623,1.1,333,273
"VISITING NURSE ASSOCIATION OF CLEVELAND HOSPICE (BROOKLYN HEIGHTS, OH)",CLEVELAND,1175,12895789,10975,10417,1.1,508,274
"APERION CARE BRIDGEPORT (BRIDGEPORT, IL)",CHICAGO,1919,20275590,10566,5811,1.8,393,275
"A PLUS FAMILY URGENT CARE LLC (TAMPA, FL)",TAMPA,1494,15641795,10470,1712,6.1,457,276
"FLORIDA URGENT CARE PARTNERS (TEMPLE TERRACE, FL)",TAMPA,1347,13926535,10339,1702,6.1,488,277
"CENTER HOME HISPANIC ELDERLY (CHICAGO, IL)",CHICAGO,1028,10619932,10331,5581,1.9,573,278
"RIVERSIDE CARE CENTER (MIAMI, FL)",MIAMI,1203,12366420,10280,4312,2.4,522,279
"AVANTGARDE URGENT CARE  LLC (TAMPA, FL)",TAMPA,1671,17176651,10279,1783,5.8,428,280
"CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP (SAN FRANCISCO, CA)",SAN FRANCISCO,1444,14780128,10236,4904,2.1,472,281
"HERITAGE HOSPICE AND PALLIATIVE CARE (HARWOOD HEIGHTS, IL)",CHICAGO,2151,21530399,10009,6522,1.5,387,282
"SAN FRANCISCO POST ACUTE (SAN FRANCISCO, CA)",SAN FRANCISCO,3031,30113043,9935,4706,2.1,337,283
"CITY BAY URGENT CARE  A MEDICAL CORPORATION (SAN FRANCISCO, CA)",SAN FRANCISCO,6412,63244730,9863,1599,6.2,263,284
"KAISER FOUNDATION HOSPITAL HOSPICE-SAN FRANCISCO (SAN FRANCISCO, CA)",SAN FRANCISCO,2601,25333812,9740,4960,2.0,359,285
"VITAS INNOVATIVE HOSPICE CARE OF GREATER WASH  DC (WASHINGTON, DC)",WASHINGTON DC,2235,21708305,9713,6081,1.6,384,286
"BOLINAS COMMUNITY HEALTH CENTER (BOLINAS, CA)",SAN FRANCISCO,3125,30323288,9703,1919,5.1,336,287
"GOLDEN GATE URGENT CARE INC (SAN FRANCISCO, CA)",SAN FRANCISCO,3987,38571378,9674,1584,6.1,312,288
"CAL DEVON URGENT CARE INC (CHICAGO, IL)",CHICAGO,3966,38211317,9635,1535,6.3,316,289
"VITUITY - URGENT CARE SERVICES PC (SAN FRANCISCO, CA)",SAN FRANCISCO,9578,91846666,9589,1571,6.1,229,290
"MOHANA URGENT CARE LTD (CHICAGO, IL)",CHICAGO,1747,16512350,9452,1519,6.2,437,291
"HERITAGE MANOR NURSING AND REHAB CENTER (DETROIT, MI)",DETROIT,1628,15256928,9372,3905,2.4,465,292
"EXPRESS URGENT CARE LLC (CHICAGO RIDGE, IL)",CHICAGO,1879,17574286,9353,1502,6.2,423,293
"VILLA AT WINDSOR PARK (CHICAGO, IL)",CHICAGO,2031,18912687,9312,4450,2.1,406,294
"PRESENCE ST JOSEPH HOSPITAL - CHICAGO (CHICAGO, IL)",CHICAGO,1489,13842840,9297,4605,2.0,489,295
"STEEL VALLEY URGENT CARE (PITTSBURGH, PA)",PITTSBURGH,4219,39143751,9278,1365,6.8,310,296
"SOUTHPOINT NURSING & REHAB CENTER (CHICAGO, IL)",CHICAGO,2748,25483881,9274,4503,2.1,358,297
"STEEL CITY URGENT CARE PHYSICIANS  LLC (PITTSBURGH, PA)",PITTSBURGH,3106,28730026,9250,1377,6.7,344,298
"PARK MANOR BEE CAVE (BEE CAVE, TX)",AUSTIN,1320,12126231,9187,5377,1.7,527,299
"SILVERADO HOSPICE- AUSTIN (AUSTIN, TX)",AUSTIN,1170,10712097,9156,5626,1.6,570,300
"URGENT CARE MEDICAL SERVICE CORPORATION (CHICAGO, IL)",CHICAGO,1763,16086681,9125,1464,6.2,443,301
"PRIMARY URGENT CARE LLC (CHICAGO, IL)",CHICAGO,4786,43464299,9082,1497,6.1,300,302
"BROOKDALE LAKEWAY 2 (LAKEWAY, TX)",AUSTIN,1420,12873717,9066,4374,2.1,509,303
"SEVEN HILLS HEALTH & REHAB CENTER (SEVEN HILLS, OH)",CLEVELAND,1106,10017876,9058,4610,2.0,585,304
"HARPER WOODS URGENT CARE AND MEDICAL CENTER PLLC (HARPER WOODS, MI)",DETROIT,1592,14390767,9039,1285,7.0,479,305
"BRIDGEPOINT SUB-ACUTE AND REHAB CAPITOL HILL (WASHINGTON, DC)",WASHINGTON DC,5463,49183370,9003,4621,1.9,287,306
"AUSTIN HEALTHCARE AND REHABILITATION CENTER (AUSTIN, TX)",AUSTIN,2028,18115679,8933,4806,1.9,413,307
"TERRACES AT THE CLARE (CHICAGO, IL)",CHICAGO,3469,30793528,8877,3998,2.2,334,308
"URGENT WELLNESS LLC (WASHINGTON, DC)",WASHINGTON DC,5118,45311130,8853,1501,5.9,296,309
"FAMILYDOC URGENT CARE LLC (CHICAGO, IL)",CHICAGO,2455,21615846,8805,1432,6.1,386,310
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT MADISON LTD (CHICAGO, IL)",CHICAGO,9213,81070290,8800,1472,6.0,242,311
"BELHAVEN NURSING & REHAB CENTER (CHICAGO, IL)",CHICAGO,1148,10075324,8776,4333,2.0,584,312
"SOUTH LOOP URGENT CARE LLC (CHICAGO, IL)",CHICAGO,13693,119907145,8757,1432,6.1,191,313
"VERNOR URGENT CARE PLLC (DETROIT, MI)",DETROIT,2246,19620355,8736,1279,6.8,399,314
"COURET MEDICAL & URGENT CARE S.C. (FRANKLIN PARK, IL)",CHICAGO,4413,38389478,8699,1518,5.7,314,315
"FAIRLANE SENIOR CARE AND REHAB CENTER (DETROIT, MI)",DETROIT,1558,13542608,8692,3554,2.4,494,316
"EXPRESSMD URGENT CARE PLLC (PFLUGERVILLE, TX)",AUSTIN,2061,17811640,8642,1570,5.5,418,317
"DIVINE HEALTH CARE CORP (MIAMI, FL)",MIAMI,2845,24432428,8588,3327,2.6,367,318
"ECONOMIC OPPORTUNITY FAMILY HLTH CTR (MIAMI, FL)",MIAMI,1565,13428249,8580,2076,4.1,497,319
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT YALE AND 95TH LTD (CHICAGO, IL)",CHICAGO,6505,55802520,8578,1429,6.0,276,320
"FIRST URGENT CARE INC (PARMA, OH)",CLEVELAND,18124,155254095,8566,1227,7.0,165,321
"BRADDOCK FAMILY HEALTH CENTER (BRADDOCK, PA)",PITTSBURGH,1031,8786915,8523,1592,5.4,621,322
"DISTRICT URGENT CARE PROFESSIONAL CORPORATION (WASHINGTON, DC)",WASHINGTON DC,5138,43769054,8519,1497,5.7,298,323
"WARREN BARR GOLD COAST (CHICAGO, IL)",CHICAGO,2304,19602607,8508,3861,2.2,401,324
"SOUTH OF MARKET HEALTH CENTER (SAN FRANCISCO, CA)",SAN FRANCISCO,2919,24773963,8487,2776,3.1,363,325
"GRAND HARLEM MEDICAL CENTER URGENT CARE LLC (ELMWOOD PARK, IL)",CHICAGO,4855,41193012,8485,1475,5.8,306,326
"NEW HOPE MANOR (CEDAR PARK, TX)",AUSTIN,1064,9019902,8477,4349,1.9,617,327
"CARECENTRICS URGENT CARE LLC (MORTON GROVE, IL)",CHICAGO,2924,24695272,8446,1455,5.8,364,328
"MAXCARE URGENT CARE PC (HAMTRAMCK, MI)",DETROIT,1413,11921526,8437,1265,6.7,535,329
"HEALTH EXPRESS URGENT CARE CENTERS LLC (CLEVELAND, OH)",CLEVELAND,16419,138206240,8417,1176,7.2,175,330
"CLEVELAND URGENT CARE LLC (CLEVELAND, OH)",CLEVELAND,48964,411978679,8414,1194,7.0,57,331
"SUTTER VISITING NURSE ASSOCIATION AND HOSPICE (SAN FRANCISCO, CA)",SAN FRANCISCO,6773,56959505,8410,3790,2.2,273,332
"CHELSEA JEWISH HOSPICE AND PALLIATIVE CARE (CHELSEA, MA)",BOSTON,1874,15758688,8409,5304,1.6,453,333
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT SOUTH SHORE LLC (CHICAGO, IL)",CHICAGO,1483,12459102,8401,1485,5.7,519,334
"BAYSHORE POINTE NURSING AND REHAB CENTER (TAMPA, FL)",TAMPA,2628,22050862,8391,4050,2.1,382,335
"WOODLAND URGENT CARE LLC (DETROIT, MI)",DETROIT,2151,18032002,8383,1269,6.6,414,336
"URGENT MEDICAL CENTER SC (CHICAGO, IL)",CHICAGO,1727,14466032,8376,1423,5.9,478,337
"PROMEDICA SKILLED NURSING & REHABILITATION PARMA (CLEVELAND, OH)",CLEVELAND,3160,26386378,8350,3491,2.4,353,338
"LEE DAVIS HEALTH CENTER (TAMPA, FL)",TAMPA,1878,15620005,8317,2287,3.6,458,339
"BOULEVARD TEMPLE CARE CENTER  LLC (DETROIT, MI)",DETROIT,1929,16022337,8306,3621,2.3,446,340
"NORTH EAST MEDICAL SERVICES - TARAVAL (SAN FRANCISCO, CA)",SAN FRANCISCO,4731,38709781,8182,3392,2.4,311,341
"CLINIC IN ALTGELD INC  THE (CHICAGO, IL)",CHICAGO,2010,16406379,8162,1677,4.9,438,342
"SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE (AUSTIN, TX)",AUSTIN,1051,8567993,8152,4677,1.7,627,343
"ROCKY RIVER URGENT CARE  INC. (ROCKY RIVER, OH)",CLEVELAND,7320,59605480,8143,1194,6.8,267,344
"TAMPA FAMILY HEALTH CENTERS  INC (TAMPA, FL)",TAMPA,2790,22657269,8121,2929,2.8,376,345
"TENDERLOIN HEALTH SERVICES (SAN FRANCISCO, CA)",SAN FRANCISCO,2056,16687149,8116,3016,2.7,434,346
"NORTH OLMSTED URGENT CARE LLC (NORTH OLMSTED, OH)",CLEVELAND,1405,11348577,8077,1208,6.7,548,347
"SDM 1 STOP PRIMARY & URGENT CARE (WASHINGTON, DC)",WASHINGTON DC,5048,40423257,8008,1470,5.4,307,348
"MADISON FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,2086,16654713,7984,1726,4.6,435,349
"THE VILLA AT THE PARK (HIGHLAND PARK, MI)",DETROIT,1642,13090396,7972,3463,2.3,503,350
"PHYSICIANS' URGENT CARE  PLLC (FRANKLIN, TN)",NASHVILLE,1350,10728721,7947,1337,5.9,569,351
"UIC-MILE SQUARE AT CICERO (CICERO, IL)",CHICAGO,1360,10806337,7946,1718,4.6,566,352
"LEWIS URGENT CARE PLLC (DRIPPING SPRINGS, TX)",AUSTIN,1893,15016990,7933,1607,4.9,470,353
"RIDGE PARK URGENT CARE LLC (STRONGSVILLE, OH)",CLEVELAND,2432,19287790,7931,1180,6.7,404,354
"KAISER FOUNDATION HOSP HOME HEALTH - SAN FRANCISCO (SAN FRANCISCO, CA)",SAN FRANCISCO,2146,17010578,7927,2837,2.8,430,355
"LIFE CARE CENTER OF SALT LAKE CITY (SALT LAKE CITY, UT)",SALT LAKE CITY,1656,13117502,7921,4046,2.0,501,356
"URGENT AND FAMILY CARE AT AVERY RANCH  LLP (AUSTIN, TX)",AUSTIN,3431,27103863,7900,1555,5.1,350,357
"PILSEN FAMILY HEATLH CENTER (CHICAGO, IL)",CHICAGO,2338,18454222,7893,1592,5.0,411,358
"ACCESS CABRINI HEALTH CENTER (CHICAGO, IL)",CHICAGO,2917,22999536,7885,1533,5.1,374,359
"PARKSHORE ESTATES NURSING & REHAB (CHICAGO, IL)",CHICAGO,1520,11953919,7864,3310,2.4,534,360
"PLAZA MEDICAL CENTER (CHICAGO, IL)",CHICAGO,1461,11482176,7859,1518,5.2,545,361
"THE HEALTH CENTER AT RICHLAND PLACE (NASHVILLE, TN)",NASHVILLE,1402,10958467,7816,3908,2.0,561,362
"COMMUNITYCARE - ROSEWOOD- ZARAGOSA (AUSTIN, TX)",AUSTIN,2126,16542303,7781,1815,4.3,436,363
"REMEDY URGENT CARE PLLC (AUSTIN, TX)",AUSTIN,8259,64147435,7767,1573,4.9,261,364
"ACCESS HAWTHORNE FAMILY HEALTH CENTER (CICERO, IL)",CHICAGO,1084,8356350,7709,1799,4.3,637,365
"DCHC WOODWARD CORRIDOR FAMILY MEDICAL CENTER (DETROIT, MI)",DETROIT,1418,10889871,7680,1755,4.4,563,366
"NORRIDGE GARDENS (NORRIDGE, IL)",CHICAGO,1985,15204601,7660,3900,2.0,466,367
"VOLUNTEER STATE URGENT CARE  PC (NASHVILLE, TN)",NASHVILLE,2726,20869473,7656,1303,5.9,391,368
"MARY'S CENTER FOR MATERNAL AND CHILD CARE  INC (WASHINGTON, DC)",WASHINGTON DC,3005,22971177,7644,2772,2.8,375,369
"COMMUNITYCARE - NORTH CENTRAL (AUSTIN, TX)",AUSTIN,1476,11259317,7628,1804,4.2,550,370
"VICTORY URGENT CARE LLC (WEST LAKE HILLS, TX)",AUSTIN,3947,30098623,7626,1575,4.8,338,371
"FAMILY MEDICAL URGENT CARE PLLC (NASHVILLE, TN)",NASHVILLE,1995,15195161,7617,1377,5.5,467,372
"JUNIPER VILLAGE AT SPICEWOOD SUMMIT (AUSTIN, TX)",AUSTIN,3060,23265804,7603,4140,1.8,371,373
"WOODBRIDGE NURSING PAVILION (CHICAGO, IL)",CHICAGO,2310,17480963,7568,3809,2.0,425,374
"URGENT MD LLC (HERMITAGE, TN)",NASHVILLE,1591,12022604,7557,1417,5.3,531,375
"ROYAL OAK NURSING & REHAB CTR (CLEVELAND, OH)",CLEVELAND,6374,48066965,7541,3327,2.3,290,376
"NHC PLACE AT THE TRACE (NASHVILLE, TN)",NASHVILLE,1765,13283081,7526,3504,2.1,498,377
"AMEDISYS HOME HEALTH (WASHINGTON, DC)",WASHINGTON DC,1497,11231396,7503,3201,2.3,552,378
"WARREN FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,2053,15382326,7493,1693,4.4,460,379
"COMMUNITYCARE - SOUTH AUSTIN (AUSTIN, TX)",AUSTIN,1091,8123130,7446,1917,3.9,644,380
"UTAH CARENOW URGENT CARE LLC (WEST JORDAN, UT)",SALT LAKE CITY,3747,27884532,7442,1432,5.2,347,381
"BORINQUEN HEALTH CARE CENTER (MIAMI, FL)",MIAMI,1117,8282736,7415,3338,2.2,641,382
"GRAND BLVD PLAZA FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,1748,12931233,7398,1786,4.1,506,383
"ASAP SERVICES CORPORATION (WASHINGTON, DC)",WASHINGTON DC,4527,33467333,7393,3637,2.0,323,384
"ASCENSION RESURRECTION LIFE (CHICAGO, IL)",CHICAGO,1039,7672870,7385,3737,2.0,662,385
"CHICAGO FAMILY HEALTH CENTER  INC (CHICAGO, IL)",CHICAGO,3490,25722505,7370,1810,4.1,357,386
"AMERICARE IN HOME NURSING (WASHINGTON, DC)",WASHINGTON DC,2553,18784376,7358,3635,2.0,409,387
"BOSTONIAN NURSING CARE & REHABILITATION CTR  THE (DORCHESTER, MA)",BOSTON,1202,8839949,7354,3497,2.1,620,388
"INSPIRE MEDICAL CLINIC LLC (TAMPA, FL)",TAMPA,1053,7633395,7249,1628,4.5,665,389
"MARIAN MANOR (SOUTH BOSTON, MA)",BOSTON,3627,26270387,7243,3543,2.0,355,390
"OMNI CONTINUING CARE (DETROIT, MI)",DETROIT,2468,17869758,7241,2891,2.5,416,391
"UNIVERSITY OF IL AT CHICAGO - MILE SQUARE HC AT BA (CHICAGO, IL)",CHICAGO,1747,12616986,7222,1956,3.7,516,392
"HIGH PERFORMANCE HEALTHCARE CORPORATION (MIAMI, FL)",MIAMI,2252,16222614,7204,1639,4.4,441,393
"WATERFRONT TERRACE (CHICAGO, IL)",CHICAGO,1426,10267041,7200,3417,2.1,582,394
"BORINQUEN HEALTH CARE CENTER INC (MIAMI, FL)",MIAMI,2455,17665032,7196,1615,4.5,422,395
"ST JOSEPH VILLAGE OF CHICAGO (CHICAGO, IL)",CHICAGO,3127,22451479,7180,3310,2.2,380,396
"SPORT ORTHO URGENT CARE PC (NASHVILLE, TN)",NASHVILLE,7105,51009122,7179,1312,5.5,283,397
"JESSIE TRICE COMMUNITY HEALTH SYSTEM INC (MIAMI, FL)",MIAMI,1609,11498775,7147,1594,4.5,544,398
"GRAND HEALTH CARE CONSULTING LLC (MIAMI, FL)",MIAMI,1188,8482489,7140,1603,4.5,631,399
"IMMACULATE HEALTH CARE SERVICES INC (WASHINGTON, DC)",WASHINGTON DC,2131,15160858,7114,3856,1.8,468,400
"ASCENSION CASA SCALABRINI (NORTHLAKE, IL)",CHICAGO,2385,16957059,7110,3250,2.2,431,401
"AUNT MARTHA'S SOUTHEAST SIDE COMMUNITY HEALTH CTR (CHICAGO, IL)",CHICAGO,2234,15878700,7108,1606,4.4,450,402
"HUMAN TOUCH HOME HEALTH CARE AGENCY  INC (WASHINGTON, DC)",WASHINGTON DC,1282,9077918,7081,3147,2.3,613,403
"COMMUNITYCARE - OAK HILL (AUSTIN, TX)",AUSTIN,6015,42499395,7066,1526,4.6,303,404
"SOMERFIELD AT THE HERITAGE (BRENTWOOD, TN)",NASHVILLE,1098,7757772,7065,3431,2.1,661,405
"UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER (CHICAGO, IL)",CHICAGO,1715,12020169,7009,1990,3.5,532,406
"WATERS MEDICAL CLINIC  LLC (TAMPA, FL)",TAMPA,1923,13454805,6997,1558,4.5,496,407
"GLOWING HEALTHCARE LLC (MIAMI, FL)",MIAMI,2697,18821638,6979,1569,4.4,408,408
"MT ALVERNA HOME INC (PARMA, OH)",CLEVELAND,3222,22451927,6968,2914,2.4,379,409
"ALLIANCE HEALTH AT MARINA BAY (QUINCY, MA)",BOSTON,1584,11018600,6956,3427,2.0,559,410
"COMMUNITY HEALTH OF SOUTH FLORIDA INC (MIAMI, FL)",MIAMI,1236,8591169,6951,1568,4.4,626,411
"DIPLOMAT HEALTHCARE (NORTH ROYALTON, OH)",CLEVELAND,2521,17514297,6947,2863,2.4,424,412
"MARBRIDGE VILLA (MANCHACA, TX)",AUSTIN,1557,10807629,6941,3740,1.9,565,413
"STANLEY C MYERS COMMUNITY HEALTH CTR (MIAMI BEACH, FL)",MIAMI,3519,24384622,6929,1578,4.4,369,414
"HEALTHRIGHT 360 (SAN FRANCISCO, CA)",SAN FRANCISCO,1970,13649512,6929,1666,4.2,493,415
"CHICAGO FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,1768,12238669,6922,1946,3.6,525,416
"CARLTON AT THE LAKE  THE (CHICAGO, IL)",CHICAGO,2027,14025774,6919,2968,2.3,487,417
"EMBRACING CHANGES CENTER FOR WELLNESS LLC (TAMPA, FL)",TAMPA,1519,10508681,6918,1567,4.4,576,418
"ACCESS AT EYE INSTITUTE (CHICAGO, IL)",CHICAGO,3779,26101650,6907,1505,4.6,356,419
"LAKEVIEW  REHAB & NURSING CENTER (CHICAGO, IL)",CHICAGO,2751,18983739,6901,3304,2.1,405,420
"PALMA CEIA FAMILY CARE  P.L. (TAMPA, FL)",TAMPA,1337,9222094,6898,1541,4.5,606,421
"ELIZA BRYANT CENTER (CLEVELAND, OH)",CLEVELAND,9772,67283901,6885,2814,2.4,255,422
"VILLA ST JOSEPH (GARFIELD HEIGHTS, OH)",CLEVELAND,4720,32488995,6883,3102,2.2,328,423
"NORTHWEST COMMUNITY HEALTH CENTER (SALT LAKE CITY, UT)",SALT LAKE CITY,2363,16258563,6880,1405,4.9,440,424
"BENJAMIN HEALTHCARE CENTER (BOSTON, MA)",BOSTON,1661,11412467,6871,3446,2.0,546,425
"ALIVIO MEDICAL CENTER  INC (CHICAGO, IL)",CHICAGO,2752,18881669,6861,1686,4.1,407,426
"BRUCE DOUGLAS HEALTH CENTER (DETROIT, MI)",DETROIT,1348,9241261,6856,1823,3.8,605,427
"TAMPA FAMILY HEALTH CENTERS INC (TAMPA, FL)",TAMPA,8085,55370353,6849,1537,4.5,278,428
"MELROSE PARK FAMILY HEALTH CENTER (MELROSE PARK, IL)",CHICAGO,1050,7188257,6846,1930,3.5,678,429
"CAREMORE ASPIRE PRIMARY CARE PARTNERS PC (TAMPA, FL)",TAMPA,2914,19901762,6830,1546,4.4,397,430
"KEDZIE FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,2874,19606380,6822,2082,3.3,400,431
