DESCRIPTION,NUM_PROCEDURES,MIN_BASE_COST,MAX_BASE_COST,AVG_BASE_COST
Social case work (regime/therapy),884,408.20,615.85,477.50015837
Prescription of drug (procedure),822,408.20,615.85,484.13057178
Imaging finding (finding),818,431.40,615.85,527.92152812
Admission to long stay hospital,814,408.20,600.50,471.12671990
Admission to burn unit,808,408.20,600.50,471.28019802
Surgical manipulation of shoulder joint,797,6898.31,40592.21,15369.08651192
Cardioassist by aortic balloon pump (procedure),794,408.20,615.85,485.96743073
Microbial culture (procedure),768,408.20,615.85,484.93936198
Mental health screening (procedure),722,24.49,49.26,32.45972299
Determination of susceptibility of Human immunodeficiency virus 1 to panel of antiretroviral drugs using genotypic technique (procedure),712,408.20,615.85,482.75862360
Multidisciplinary care conference (procedure),708,408.20,615.85,479.30765537
Catheter ablation of tissue of heart (procedure),705,3827.85,23100.28,8787.71102128
Evaluating response to treatment (procedure),684,408.20,615.85,494.17285088
Methotrexate injection into tubal pregnancy (procedure),676,1108.27,6328.53,2557.33247041
Vasectomy (procedure),663,5666.89,32359.39,13019.75641026
Excision of fallopian tube and surgical removal of ectopic pregnancy (procedure),636,3413.10,19489.68,8043.44729560
Oral Glucose Tolerance Test,631,143.68,283.43,189.06649762
Hemopoietic stem cell transplant (procedure),541,408.20,615.85,483.50942699
Computed tomography of head (procedure),486,408.20,615.85,476.69049383
Reexploration procedure (procedure),474,408.20,615.85,483.94698312
Urine pregnancy test (procedure),444,408.20,615.85,482.01083333
Transfusion of red blood cells (procedure),429,408.20,615.85,477.41650350
Doppler ultrasonography of artery (procedure),417,408.20,615.85,477.18309353
Transcatheter aortic valve implantation (procedure),406,431.40,615.85,533.20758621
Admission to ward (procedure),400,431.40,615.85,533.42245000
Hepatitis antibody test (procedure),372,431.40,615.85,528.80333333
Brachytherapy of breast (procedure),369,14298.42,26326.35,17678.98680217
Reasons for treatment delay (finding),361,408.20,615.85,481.03578947
Ultrasonography of abdomen  right upper quadrant and epigastrium (procedure),334,431.40,615.85,524.44446108
Spontaneous breech delivery,322,2635.49,15508.24,6226.67928571
Admission to trauma surgery department (procedure),318,431.40,615.85,523.12323899
Opening of chest (procedure),316,408.20,615.85,484.40357595
Laparoscopic cholecystectomy (procedure),315,1679.87,24605.38,5331.31749206
Construction of diverting colostomy,311,12960.13,78211.68,27078.94553055
Admission to long stay hospital (procedure),284,431.40,615.85,517.46306338
Amputation care (regime/therapy),283,408.20,615.85,480.98406360
Admission to burn unit (procedure),282,431.40,615.85,516.76528369
Open Removal of Gall Bladder,258,12472.95,38967.64,18368.75104651
Referral to palliative care service (procedure),247,408.20,615.85,469.59109312
Surgical manipulation of shoulder joint (procedure),245,7290.37,41629.83,17261.46571429
positive screening for depression on phq9,240,408.20,600.50,475.46208333
Glucose tolerance test (procedure),213,151.85,290.68,213.17032864
Incision of trachea (procedure),207,191.85,2081.57,834.94898551
positive screening for PHQ-9,201,408.20,600.50,476.62412935
Allogeneic bone marrow transplantation (procedure),196,408.20,615.85,484.69178571
negative screening for depression on phq9,190,408.20,600.50,474.39789474
Intracavitary brachytherapy (procedure),188,14298.42,26326.35,17567.67515957
Interstitial brachytherapy (procedure),181,14298.42,26326.35,17795.30950276
Transfusion of plasma (procedure),178,1469.52,3695.10,2177.83584270
Positive screening for depression on Patient Health Questionnaire 9 (finding),177,431.40,615.85,519.15418079
Transplantation of heart (procedure),168,408.20,615.85,471.19488095
Oxygen Therapy,161,408.20,600.50,478.07546584
Implantation of left ventricular assist device (procedure),156,408.20,600.50,466.43814103
Total knee replacement,155,7835.67,46108.03,17681.43638710
Transfer to stepdown,144,408.20,600.50,466.79340278
Spontaneous breech delivery (procedure),143,2785.28,15904.67,6245.54000000
Implantation of ventricular assist device (procedure),138,408.20,600.50,459.14456522
Posture training (procedure),116,408.20,615.85,476.87646552
Mouth care (regime/therapy),116,408.20,615.85,476.87646552
Cardiac pacemaker procedure (procedure),116,408.20,615.85,491.93163793
Injection of botulinum toxin (procedure),115,408.20,615.85,469.39513043
Total replacement of hip,109,7897.98,46474.64,16388.97201835
Admission to neurosurgical department,101,408.20,600.50,471.10643564
Treatment changed (situation),95,408.20,615.85,496.84126316
Musculoskeletal system physical examination (procedure),94,408.20,615.85,478.35297872
Neurological examination (procedure),94,408.20,615.85,478.35297872
Negative screening for depression on Patient Health Questionnaire 9 (finding),93,431.40,615.85,512.97817204
Intravenous infusion (procedure),87,408.20,615.85,483.88931034
Review of medication (procedure),84,408.20,615.85,489.03178571
Manual testing of muscle function (procedure),69,408.20,615.85,473.71347826
Magnetic resonance imaging of spine (procedure),69,408.20,615.85,473.71347826
Repair of myelomeningocele (procedure),69,408.20,615.85,472.77217391
Death in hospital (event),69,408.20,615.85,480.96217391
Doppler ultrasonography of renal vein (procedure),69,408.20,615.85,473.71347826
Cholecystectomy (procedure),67,13181.85,39963.73,21653.13402985
Intravenous antibiotic therapy,62,408.20,600.50,465.16612903
Psychiatric follow-up,60,81.64,360.30,165.68483333
Hospital admission  short-term  24 hours,60,1028.66,3988.38,1976.67133333
Evaluation of psychiatric state of patient,60,81.64,360.30,137.79283333
Amputation of right leg,56,8711.98,43888.60,19207.52357143
Amputation of right foot,56,8711.98,51264.55,21772.94214286
Ventriculoperitoneal shunt (procedure),53,408.20,615.85,481.17981132
Urodynamic studies (procedure,51,408.20,600.50,462.12254902
Amputation of left foot,50,8711.98,51264.55,22123.30620000
Amputation of left leg,50,8711.98,42356.21,17763.40260000
Acute respiratory failure (disorder),47,431.40,615.85,532.22404255
Ligation of salivary duct (procedure),46,408.20,615.85,487.52043478
Blood culture (procedure),45,408.20,615.85,477.94888889
20 Gene mutation test,44,408.20,600.50,471.79318182
Sweat Test,44,163.28,441.77,265.12840909
Prosthetic total arthroplasty of knee joint (procedure),43,8281.01,47286.65,20213.00116279
Excision of submandibular gland (procedure),41,408.20,615.85,486.95000000
Surgical procedure on chest wall (procedure),40,408.20,615.85,480.23500000
Repair of aortic valve (procedure),40,408.20,600.50,493.67125000
Implantation of left cardiac ventricular assist device (procedure),38,431.40,615.85,534.20500000
Admission to neurosurgical department (procedure),36,431.40,615.85,518.18055556
Amputation of the foot (procedure),35,9263.68,52574.97,22016.11514286
Implantation of cardiac ventricular assist device (procedure),34,431.40,615.85,517.72029412
Review of Medication (procedure),33,408.20,600.50,449.68181818
Neonatal Screening,31,408.20,600.50,472.68064516
Total replacement of hip (procedure),30,8346.86,45255.69,18374.74033333
Amputation above-knee (procedure),26,9207.12,52574.97,24416.74884615
Intravenous antibiotic therapy (procedure),25,431.40,615.85,530.32280000
Oromotor Exercises,24,408.20,600.50,478.09166667
Hospital admission  short-term  24 hours (procedure),23,1087.12,4777.76,2378.29913043
Behavioral therapy (regime/therapy),23,408.20,615.85,486.46521739
Evaluation of psychiatric state of patient (procedure),23,86.28,369.51,207.84304348
Psychiatric follow-up (procedure),23,86.28,369.51,211.78000000
Insertion of oral appliance for the handicapped (procedure),22,408.20,615.85,484.04727273
Lung Transplant,20,408200.00,960800.00,590664.21000000
Urodynamic studies (procedure),18,431.40,615.85,506.55444444
negative screening for PHQ9,18,408.20,600.50,498.23888889
Transposition of submandibular duct (procedure),13,408.20,615.85,498.24538462
Cystic fibrosis sweat test (procedure),11,172.56,492.68,315.22818182
Screen for 20 common genetic mutations of cystic fibrosis using amplification refractory mutation system polymerase chain reaction assay technique (procedure),11,431.40,615.85,525.48545455
Enema,8,161.64,345.88,232.87875000
Cauterization of choroid plexus (procedure),8,408.20,600.50,456.86250000
Videofluoroscopy swallow (procedure),7,408.20,600.50,486.02142857
Single lung transplant (procedure),7,431400.00,694480.00,573018.57142857
Oral motor exercises (regime/therapy),6,434.05,615.85,558.39833333
Neonatal screening (procedure),6,431.40,615.85,547.59000000
Endoscopic third ventriculostomy (procedure),6,408.20,600.50,464.90833333
Radionuclide Imaging,4,408.20,496.15,430.18750000
Amputation of right arm,3,9992.53,16336.99,13886.72000000
Endoscopic exteriorization of third ventricle (procedure),2,431.40,434.05,432.72500000
Giving patient an enema (procedure),2,584.75,584.75,584.75000000
Fiberoptic Endoscopic Evaluation of Swallowing,2,408.20,485.85,447.02500000
Fiberoptic endoscopic evaluation of swallowing (procedure),1,584.75,584.75,584.75000000
Amputation of hand (procedure),1,52574.97,52574.97,52574.97000000
Amputation of right hand,1,32570.37,32570.37,32570.37000000
Amputation of left arm,1,14812.47,14812.47,14812.47000000
Aortic valve and adjacent structure operations (procedure),1,408.20,408.20,408.20000000
