Rank by total spend,Condition code,Condition,Total billed,% of all spending,Number of claims,% of all claims,Spend share minus claim share,People affected,Claims per person,Cost per claim,Cost per person,How many more people than a typical condition,How many more visits each than typical,How much dearer per claim than typical,What drives its cost,Size of that driver,% of the bill patients pay
164,15724005,Fracture of vertebral column without spinal cord injury,69530,0.000,1152,0.003,0.00,672,1.71,60.36,103.47,0.16,0.81,0.08,Balanced,0.8,50.7
165,403192003,Third degree burn,66330,0.000,930,0.003,0.00,925,1.01,71.32,71.71,0.22,0.47,0.10,Balanced,0.5,40.4
166,109989006,Multiple myeloma (disorder),51885,0.000,419,0.001,0.00,419,1.00,123.83,123.83,0.10,0.47,0.17,Balanced,0.5,17.7
167,60951000119105,Blindness due to type 2 diabetes mellitus (disorder),44326,0.000,83,0.000,0.00,20,4.15,534.05,2216.31,0.00,1.96,0.73,Balanced,2.0,6.1
168,204949001,Renal dysplasia (disorder),41182,0.000,83,0.000,0.00,83,1.00,496.16,496.16,0.02,0.47,0.68,Balanced,0.7,69.3
169,200936003,Lupus erythematosus,38016,0.000,418,0.001,0.00,115,3.63,90.95,330.57,0.03,1.72,0.12,Balanced,1.7,36.5
170,65710008,Acute respiratory failure (disorder),31461,0.000,32,0.000,0.00,17,1.88,983.16,1850.66,0.00,0.89,1.34,Balanced,1.3,9.6
171,287185009,Attempted suicide - cut/stab,30512,0.000,24,0.000,0.00,11,2.18,1271.34,2773.83,0.00,1.03,1.74,Balanced,1.7,40.0
172,287182007,Attempted suicide - suffocation,26719,0.000,22,0.000,0.00,11,2.00,1214.50,2428.99,0.00,0.94,1.66,Balanced,1.7,17.8
173,91434003,Pulmonic valve regurgitation (disorder),26457,0.000,55,0.000,0.00,55,1.00,481.04,481.04,0.01,0.47,0.66,Balanced,0.7,46.1
174,1734006,Fracture of the vertebral column with spinal cord injury,25017,0.000,305,0.001,0.00,220,1.39,82.02,113.71,0.05,0.65,0.11,Balanced,0.7,53.0
175,127295002,Traumatic brain injury (disorder),22606,0.000,31,0.000,0.00,18,1.72,729.22,1255.89,0.00,0.81,1.00,Balanced,1.0,44.0
176,410429000,Cardiac arrest (disorder),11737,0.000,92,0.000,0.00,92,1.00,127.57,127.57,0.02,0.47,0.17,Balanced,0.5,35.5
177,448813005,Sepsis caused by Pseudomonas (disorder),8776,0.000,12,0.000,0.00,7,1.71,731.37,1253.77,0.00,0.81,1.00,Balanced,1.0,0.8
178,157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder),3633,0.000,18,0.000,0.00,4,4.50,201.85,908.34,0.00,2.13,0.28,Frequency - many visits each,2.1,7.1
179,76916001,Spina bifida occulta (disorder),2716,0.000,23,0.000,0.00,23,1.00,118.08,118.08,0.01,0.47,0.16,Balanced,0.5,52.6
180,448417001,Sepsis caused by Staphylococcus aureus,1111,0.000,1,0.000,0.00,1,1.00,1111.01,1111.01,0.00,0.47,1.52,Balanced,1.5,21.0
181,171131006,Meningocele (disorder),1039,0.000,9,0.000,0.00,9,1.00,115.49,115.49,0.00,0.47,0.16,Balanced,0.5,57.2
182,79619009,Mitral valve stenosis (disorder),695,0.000,5,0.000,0.00,1,5.00,139.01,695.04,0.00,2.36,0.19,Frequency - many visits each,2.4,0.0
183,83664006,Idiopathic atrophic hypothyroidism,537,0.000,1825,0.005,-0.01,1825,1.00,0.29,0.29,0.44,0.47,0.00,Balanced,0.5,62.4
184,225444004,At risk for suicide (finding),504,0.000,8,0.000,0.00,3,2.67,63.00,167.99,0.00,1.26,0.09,Balanced,1.3,56.1
185,385486001,Postoperative complication,157,0.000,1,0.000,0.00,1,1.00,156.90,156.90,0.00,0.47,0.21,Balanced,0.5,0.0
