Condition Code,Condition Name,Payer Name,Payer Type,Total Billed,Total Paid,Avg Cost per Claim,% Borne by Patient,Number of Claims
59621000,Essential hypertension (disorder),Cigna Health,Commercial,"$7,807,638","$7,807,638",$216,88.0%,"36,127"
363406005,Malignant tumor of colon,UnitedHealthcare,Commercial,"$7,801,416","$7,801,416","$5,924",5.3%,"1,317"
82423001,Chronic pain (finding),Medicare,Government,"$7,800,790","$7,800,790",$847,5.2%,"9,213"
840544004,Suspected COVID-19,Blue Cross Blue Shield,Commercial,"$7,753,886","$7,753,886",$626,66.0%,"12,391"
109838007,Overlapping malignant neoplasm of colon,Humana,Commercial,"$7,672,079","$7,672,079","$7,130",3.8%,"1,076"
271737000,Anemia (disorder),UnitedHealthcare,Commercial,"$7,611,748","$7,611,748",$984,30.4%,"7,739"
59621000,Essential hypertension (disorder),Anthem,Commercial,"$7,593,520","$7,593,520",$223,72.8%,"34,056"
74400008,Appendicitis,Humana,Commercial,"$7,512,366","$7,512,366","$6,128",50.3%,"1,226"
444814009,Viral sinusitis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$7,477,057","$7,477,057",$143,100.0%,"52,230"
162864005,Body mass index 30+ - obesity (finding),Cigna Health,Commercial,"$7,461,227","$7,461,227",$584,90.4%,"12,787"
384709000,Sprain (morphologic abnormality),Medicaid,Government,"$7,458,374","$7,458,374",$156,40.1%,"47,903"
22298006,Myocardial infarction (disorder),Humana,Commercial,"$7,458,102","$7,458,102","$3,635",46.4%,"2,052"
185086009,Chronic obstructive bronchitis (disorder),Medicaid,Government,"$7,449,194","$7,449,194","$6,438",0.8%,"1,157"
37320007,Loss of teeth (disorder),UnitedHealthcare,Commercial,"$7,434,689","$7,434,689","$1,043",31.2%,"7,127"
241929008,Acute allergic reaction,Medicaid,Government,"$7,363,618","$7,363,618","$1,234",3.1%,"5,967"
195662009,Acute viral pharyngitis (disorder),Dual Eligible,Government,"$7,350,436","$7,350,436",$374,9.3%,"19,634"
162864005,Body mass index 30+ - obesity (finding),Aetna,Commercial,"$7,266,620","$7,266,620",$577,91.8%,"12,596"
22298006,Myocardial infarction (disorder),Cigna Health,Commercial,"$7,251,745","$7,251,745","$3,631",36.8%,"1,997"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Humana,Commercial,"$7,235,322","$7,235,322","$2,770",6.1%,"2,612"
109838007,Overlapping malignant neoplasm of colon,Aetna,Commercial,"$7,234,613","$7,234,613","$7,278",3.7%,994
162864005,Body mass index 30+ - obesity (finding),Anthem,Commercial,"$7,150,744","$7,150,744",$577,78.4%,"12,384"
109838007,Overlapping malignant neoplasm of colon,Anthem,Commercial,"$7,124,468","$7,124,468","$7,391",8.9%,964
80583007,Severe anxiety (panic) (finding),Dual Eligible,Government,"$7,110,008","$7,110,008",$416,4.3%,"17,071"
43878008,Streptococcal sore throat (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$7,106,134","$7,106,134",$608,100.0%,"11,679"
22298006,Myocardial infarction (disorder),Aetna,Commercial,"$7,039,626","$7,039,626","$3,595",49.9%,"1,958"
22298006,Myocardial infarction (disorder),Anthem,Commercial,"$7,004,340","$7,004,340","$3,720",21.8%,"1,883"
444448004,Injury of medial collateral ligament of knee,Humana,Commercial,"$6,909,202","$6,909,202","$9,249",45.4%,747
278598003,Leaking dental filling (finding),Blue Cross Blue Shield,Commercial,"$6,861,226","$6,861,226","$2,810",56.9%,"2,442"
278558000,Dental filling lost (finding),Blue Cross Blue Shield,Commercial,"$6,835,234","$6,835,234","$2,801",57.6%,"2,440"
840544004,Suspected COVID-19,UnitedHealthcare,Commercial,"$6,804,191","$6,804,191",$597,38.4%,"11,394"
278588009,Fractured dental filling (finding),Blue Cross Blue Shield,Commercial,"$6,732,185","$6,732,185","$2,857",57.8%,"2,356"
431856006,Chronic kidney disease stage 2 (disorder),Medicaid,Government,"$6,640,190","$6,640,190",$325,10.3%,"20,440"
74400008,Appendicitis,Aetna,Commercial,"$6,638,653","$6,638,653","$5,949",51.8%,"1,116"
237602007,Metabolic syndrome X (disorder),Medicaid,Government,"$6,627,189","$6,627,189",$346,8.8%,"19,138"
278602001,Loose dental filling (finding),Blue Cross Blue Shield,Commercial,"$6,567,497","$6,567,497","$2,804",57.9%,"2,342"
43878008,Streptococcal sore throat (disorder),Blue Cross Blue Shield,Commercial,"$6,499,993","$6,499,993",$574,65.1%,"11,323"
15777000,Prediabetes,Medicare,Government,"$6,458,587","$6,458,587",$835,9.8%,"7,738"
444814009,Viral sinusitis (disorder),Blue Cross Blue Shield,Commercial,"$6,447,456","$6,447,456",$143,68.7%,"45,217"
74400008,Appendicitis,Medicare,Government,"$6,420,217","$6,420,217","$6,068",3.4%,"1,058"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Anthem,Commercial,"$6,361,483","$6,361,483","$2,631",17.5%,"2,418"
431855005,Chronic kidney disease stage 1 (disorder),Dual Eligible,Government,"$6,351,344","$6,351,344",$463,3.8%,"13,719"
278602001,Loose dental filling (finding),UnitedHealthcare,Commercial,"$6,347,137","$6,347,137","$2,807",21.9%,"2,261"
361055000,Misuses drugs (finding),Medicare,Government,"$6,300,386","$6,300,386",$583,6.7%,"10,812"
22298006,Myocardial infarction (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$6,282,657","$6,282,657","$3,528",100.0%,"1,781"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Cigna Health,Commercial,"$6,230,664","$6,230,664","$2,643",13.8%,"2,357"
30832001,Rupture of patellar tendon,Humana,Commercial,"$6,213,984","$6,213,984","$9,694",44.7%,641
840544004,Suspected COVID-19,Dual Eligible,Government,"$6,208,105","$6,208,105",$568,5.1%,"10,934"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),UnitedHealthcare,Commercial,"$6,207,292","$6,207,292","$5,648",1.1%,"1,099"
43878008,Streptococcal sore throat (disorder),UnitedHealthcare,Commercial,"$6,156,222","$6,156,222",$573,37.9%,"10,736"
55680006,Drug overdose,Medicaid,Government,"$6,138,359","$6,138,359",$122,52.2%,"50,349"
444448004,Injury of medial collateral ligament of knee,Cigna Health,Commercial,"$6,105,952","$6,105,952","$9,351",34.6%,653
278558000,Dental filling lost (finding),UnitedHealthcare,Commercial,"$6,097,236","$6,097,236","$2,799",22.5%,"2,178"
278588009,Fractured dental filling (finding),UnitedHealthcare,Commercial,"$6,082,375","$6,082,375","$2,806",21.7%,"2,168"
74400008,Appendicitis,Cigna Health,Commercial,"$6,019,282","$6,019,282","$6,117",40.1%,984
278598003,Leaking dental filling (finding),UnitedHealthcare,Commercial,"$6,014,079","$6,014,079","$2,826",22.0%,"2,128"
86406008,Human immunodeficiency virus infection (disorder),Humana,Commercial,"$5,984,804","$5,984,804","$1,899",60.9%,"3,151"
444814009,Viral sinusitis (disorder),UnitedHealthcare,Commercial,"$5,934,109","$5,934,109",$141,49.9%,"42,001"
91302008,Sepsis (disorder),Dual Eligible,Government,"$5,927,284","$5,927,284","$10,777",0.2%,550
94260004,Secondary malignant neoplasm of colon,Medicaid,Government,"$5,831,719","$5,831,719","$4,614",0.5%,"1,264"
88805009,Chronic congestive heart failure (disorder),Humana,Commercial,"$5,827,971","$5,827,971","$1,058",31.5%,"5,506"
74400008,Appendicitis,Anthem,Commercial,"$5,801,714","$5,801,714","$5,944",21.8%,976
431856006,Chronic kidney disease stage 2 (disorder),Dual Eligible,Government,"$5,785,717","$5,785,717",$428,4.4%,"13,526"
64859006,Osteoporosis (disorder),Humana,Commercial,"$5,779,279","$5,779,279","$2,577",54.8%,"2,243"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Aetna,Commercial,"$5,717,330","$5,717,330","$2,531",9.7%,"2,259"
59621000,Essential hypertension (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$5,631,149","$5,631,149",$214,100.0%,"26,360"
44054006,Diabetes mellitus type 2 (disorder),Medicare,Government,"$5,563,265","$5,563,265",$770,9.4%,"7,224"
46752004,Torus palatinus (disorder),Medicare,Government,"$5,540,629","$5,540,629","$2,218",2.9%,"2,498"
10939881000119105,Unhealthy alcohol drinking behavior (finding),Humana,Commercial,"$5,529,324","$5,529,324",$437,74.0%,"12,648"
88805009,Chronic congestive heart failure (disorder),Cigna Health,Commercial,"$5,522,185","$5,522,185",$936,27.9%,"5,901"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$5,499,682","$5,499,682","$2,550",100.0%,"2,157"
59621000,Essential hypertension (disorder),Dual Eligible,Government,"$5,487,905","$5,487,905",$322,5.5%,"17,039"
233604007,Pneumonia (disorder),Medicare,Government,"$5,482,656","$5,482,656","$1,275",5.6%,"4,300"
444814009,Viral sinusitis (disorder),Dual Eligible,Government,"$5,477,378","$5,477,378",$133,26.2%,"41,101"
74400008,Appendicitis,NO_INSURANCE,Self-Pay / Uninsured,"$5,438,057","$5,438,057","$6,029",100.0%,902
128613002,Seizure disorder,Dual Eligible,Government,"$5,400,194","$5,400,194","$5,776",0.5%,935
64859006,Osteoporosis (disorder),Cigna Health,Commercial,"$5,376,387","$5,376,387","$2,465",45.1%,"2,181"
444470001,Injury of anterior cruciate ligament,Humana,Commercial,"$5,375,825","$5,375,825","$9,549",43.9%,563
444448004,Injury of medial collateral ligament of knee,Aetna,Commercial,"$5,337,827","$5,337,827","$9,235",47.2%,578
59621000,Essential hypertension (disorder),Blue Cross Blue Shield,Commercial,"$5,330,557","$5,330,557",$222,87.0%,"24,057"
36971009,Sinusitis (disorder),Medicaid,Government,"$5,322,649","$5,322,649",$240,23.2%,"22,224"
43878008,Streptococcal sore throat (disorder),Dual Eligible,Government,"$5,260,865","$5,260,865",$737,4.5%,"7,142"
88805009,Chronic congestive heart failure (disorder),Aetna,Commercial,"$5,253,379","$5,253,379",$906,33.4%,"5,798"
162864005,Body mass index 30+ - obesity (finding),NO_INSURANCE,Self-Pay / Uninsured,"$5,250,845","$5,250,845",$577,100.0%,"9,096"
444448004,Injury of medial collateral ligament of knee,Anthem,Commercial,"$5,238,417","$5,238,417","$9,174",20.2%,571
444448004,Injury of medial collateral ligament of knee,NO_INSURANCE,Self-Pay / Uninsured,"$5,211,931","$5,211,931","$9,374",100.0%,556
86406008,Human immunodeficiency virus infection (disorder),Cigna Health,Commercial,"$5,184,484","$5,184,484","$1,863",52.0%,"2,783"
61804006,Alveolitis of jaw (disorder),Dual Eligible,Government,"$5,183,027","$5,183,027","$2,382",1.5%,"2,176"
401303003,Acute ST segment elevation myocardial infarction (disorder),Aetna,Commercial,"$5,158,957","$5,158,957","$2,596",11.0%,"1,987"
433144002,Chronic kidney disease stage 3 (disorder),Medicaid,Government,"$5,110,152","$5,110,152",$325,9.9%,"15,721"
88805009,Chronic congestive heart failure (disorder),Anthem,Commercial,"$5,066,185","$5,066,185",$952,20.1%,"5,322"
401303003,Acute ST segment elevation myocardial infarction (disorder),Cigna Health,Commercial,"$5,065,899","$5,065,899","$2,598",17.9%,"1,950"
126906006,Neoplasm of prostate,Dual Eligible,Government,"$5,062,696","$5,062,696","$2,928",0.8%,"1,729"
49436004,Atrial fibrillation (disorder),Medicaid,Government,"$5,046,885","$5,046,885","$3,436",1.1%,"1,469"
61804006,Alveolitis of jaw (disorder),Humana,Commercial,"$5,045,163","$5,045,163","$2,633",30.0%,"1,916"
401303003,Acute ST segment elevation myocardial infarction (disorder),Humana,Commercial,"$4,974,262","$4,974,262","$2,588",11.6%,"1,922"
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder),Medicare,Government,"$4,962,109","$4,962,109","$1,061",6.8%,"4,676"
74400008,Appendicitis,Blue Cross Blue Shield,Commercial,"$4,931,628","$4,931,628","$6,165",39.8%,800
30832001,Rupture of patellar tendon,Aetna,Commercial,"$4,913,520","$4,913,520","$9,377",46.2%,524
60234000,Aortic valve regurgitation (disorder),Medicaid,Government,"$4,904,595","$4,904,595","$1,464",1.5%,"3,351"
4557003,Preinfarction syndrome (disorder),Medicare,Government,"$4,897,791","$4,897,791","$2,662",3.0%,"1,840"
64859006,Osteoporosis (disorder),Aetna,Commercial,"$4,870,583","$4,870,583","$2,371",56.8%,"2,054"
190905008,Cystic Fibrosis,Medicare,Government,"$4,846,747","$4,846,747","$4,719",5.7%,"1,027"
162864005,Body mass index 30+ - obesity (finding),Blue Cross Blue Shield,Commercial,"$4,845,346","$4,845,346",$585,88.5%,"8,280"
86406008,Human immunodeficiency virus infection (disorder),Anthem,Commercial,"$4,839,418","$4,839,418","$1,862",31.9%,"2,599"
15777000,Prediabetes,Humana,Commercial,"$4,809,099","$4,809,099",$630,89.4%,"7,636"
64859006,Osteoporosis (disorder),Anthem,Commercial,"$4,790,844","$4,790,844","$2,511",26.0%,"1,908"
86406008,Human immunodeficiency virus infection (disorder),Aetna,Commercial,"$4,772,937","$4,772,937","$1,842",61.1%,"2,591"
196416002,Impacted molars,Humana,Commercial,"$4,768,796","$4,768,796","$6,044",44.8%,789
433144002,Chronic kidney disease stage 3 (disorder),Dual Eligible,Government,"$4,756,497","$4,756,497",$381,5.1%,"12,488"
30832001,Rupture of patellar tendon,Cigna Health,Commercial,"$4,738,308","$4,738,308","$9,670",35.0%,490
60573004,Aortic valve stenosis (disorder),Medicaid,Government,"$4,721,742","$4,721,742","$1,657",1.3%,"2,849"
30832001,Rupture of patellar tendon,Anthem,Commercial,"$4,661,559","$4,661,559","$9,398",19.9%,496
65275009,Acute Cholecystitis,Medicare,Government,"$4,654,103","$4,654,103",$885,3.5%,"5,258"
6525002,Dependent drug abuse (disorder),Blue Cross Blue Shield,Commercial,"$4,651,824","$4,651,824",$466,58.6%,"9,991"
59621000,Essential hypertension (disorder),UnitedHealthcare,Commercial,"$4,629,405","$4,629,405",$222,73.3%,"20,859"
65363002,Otitis media,Humana,Commercial,"$4,614,033","$4,614,033",$172,92.1%,"26,878"
128188000,Cerebral palsy (disorder),Medicare,Government,"$4,612,598","$4,612,598",$565,12.8%,"8,168"
75498004,Acute bacterial sinusitis (disorder),Medicaid,Government,"$4,602,875","$4,602,875",$229,24.1%,"20,069"
10939881000119105,Unhealthy alcohol drinking behavior (finding),Cigna Health,Commercial,"$4,543,453","$4,543,453",$440,71.7%,"10,321"
444448004,Injury of medial collateral ligament of knee,Blue Cross Blue Shield,Commercial,"$4,515,698","$4,515,698","$9,903",35.4%,456
10939881000119105,Unhealthy alcohol drinking behavior (finding),Dual Eligible,Government,"$4,472,689","$4,472,689",$459,3.9%,"9,734"
109838007,Overlapping malignant neoplasm of colon,Blue Cross Blue Shield,Commercial,"$4,444,447","$4,444,447","$7,825",6.3%,568
162864005,Body mass index 30+ - obesity (finding),UnitedHealthcare,Commercial,"$4,443,419","$4,443,419",$594,77.4%,"7,478"
361055000,Misuses drugs (finding),Medicaid,Government,"$4,438,305","$4,438,305",$433,9.4%,"10,249"
401303003,Acute ST segment elevation myocardial infarction (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$4,404,670","$4,404,670","$2,585",100.0%,"1,704"
74400008,Appendicitis,UnitedHealthcare,Commercial,"$4,403,816","$4,403,816","$6,066",21.8%,726
61804006,Alveolitis of jaw (disorder),Aetna,Commercial,"$4,381,137","$4,381,137","$2,553",30.3%,"1,716"
86406008,Human immunodeficiency virus infection (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$4,319,008","$4,319,008","$1,843",100.0%,"2,344"
10939881000119105,Unhealthy alcohol drinking behavior (finding),Aetna,Commercial,"$4,253,936","$4,253,936",$425,74.9%,"10,012"
263172003,Fracture of mandible (disorder),Medicaid,Government,"$4,232,141","$4,232,141","$1,692",3.2%,"2,501"
64859006,Osteoporosis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$4,227,677","$4,227,677","$2,290",100.0%,"1,846"
384709000,Sprain (morphologic abnormality),Medicare,Government,"$4,204,217","$4,204,217",$171,19.5%,"24,583"
61804006,Alveolitis of jaw (disorder),Cigna Health,Commercial,"$4,201,236","$4,201,236","$2,543",24.9%,"1,652"
15777000,Prediabetes,Cigna Health,Commercial,"$4,172,201","$4,172,201",$591,89.8%,"7,055"
10939881000119105,Unhealthy alcohol drinking behavior (finding),Anthem,Commercial,"$4,171,563","$4,171,563",$425,60.7%,"9,819"
35999006,Blighted ovum,Medicaid,Government,"$4,118,157","$4,118,157","$1,380",3.8%,"2,985"
109838007,Overlapping malignant neoplasm of colon,UnitedHealthcare,Commercial,"$4,117,044","$4,117,044","$8,073",9.9%,510
80583007,Severe anxiety (panic) (finding),Humana,Commercial,"$4,114,719","$4,114,719",$463,72.4%,"8,890"
61804006,Alveolitis of jaw (disorder),Anthem,Commercial,"$4,102,301","$4,102,301","$2,528",18.4%,"1,623"
230265002,Familial Alzheimer's disease of early onset (disorder),Dual Eligible,Government,"$4,092,562","$4,092,562","$2,238",1.2%,"1,829"
156073000,Complete miscarriage (disorder),Humana,Commercial,"$4,055,855","$4,055,855","$1,462",11.5%,"2,774"
401303003,Acute ST segment elevation myocardial infarction (disorder),Anthem,Commercial,"$4,055,237","$4,055,237","$2,503",18.6%,"1,620"
22298006,Myocardial infarction (disorder),UnitedHealthcare,Commercial,"$4,047,428","$4,047,428","$3,601",22.1%,"1,124"
15777000,Prediabetes,Aetna,Commercial,"$4,034,360","$4,034,360",$595,92.2%,"6,778"
271737000,Anemia (disorder),Dual Eligible,Government,"$4,030,761","$4,030,761",$930,1.0%,"4,336"
444470001,Injury of anterior cruciate ligament,Cigna Health,Commercial,"$4,014,197","$4,014,197","$9,186",34.7%,437
6525002,Dependent drug abuse (disorder),UnitedHealthcare,Commercial,"$4,002,137","$4,002,137",$468,35.5%,"8,545"
233678006,Childhood asthma,Medicaid,Government,"$3,997,333","$3,997,333",$174,37.2%,"22,946"
30832001,Rupture of patellar tendon,NO_INSURANCE,Self-Pay / Uninsured,"$3,990,714","$3,990,714","$9,878",100.0%,404
15777000,Prediabetes,Anthem,Commercial,"$3,977,832","$3,977,832",$596,76.4%,"6,676"
93761005,Primary malignant neoplasm of colon,Dual Eligible,Government,"$3,972,869","$3,972,869","$7,426",0.4%,535
22298006,Myocardial infarction (disorder),Blue Cross Blue Shield,Commercial,"$3,939,719","$3,939,719","$3,631",37.7%,"1,085"
87433001,Pulmonary emphysema (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$3,939,337","$3,939,337","$8,715",100.0%,452
26929004,Alzheimer's disease (disorder),Medicaid,Government,"$3,926,908","$3,926,908","$2,414",2.3%,"1,627"
307731004,Injury of tendon of the rotator cuff of shoulder,Medicaid,Government,"$3,912,837","$3,912,837","$1,437",3.9%,"2,722"
55822004,Hyperlipidemia,Humana,Commercial,"$3,908,680","$3,908,680",$77,80.9%,"50,936"
46752004,Torus palatinus (disorder),Medicaid,Government,"$3,891,256","$3,891,256","$2,065",2.5%,"1,884"
444448004,Injury of medial collateral ligament of knee,UnitedHealthcare,Commercial,"$3,877,382","$3,877,382","$9,457",20.0%,410
128613002,Seizure disorder,Humana,Commercial,"$3,868,996","$3,868,996","$5,145",52.2%,752
444470001,Injury of anterior cruciate ligament,Aetna,Commercial,"$3,812,251","$3,812,251","$8,704",45.0%,438
431855005,Chronic kidney disease stage 1 (disorder),Humana,Commercial,"$3,800,495","$3,800,495",$369,84.4%,"10,294"
65363002,Otitis media,Blue Cross Blue Shield,Commercial,"$3,788,590","$3,788,590",$171,86.4%,"22,094"
82423001,Chronic pain (finding),Dual Eligible,Government,"$3,761,098","$3,761,098",$645,5.4%,"5,833"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),UnitedHealthcare,Commercial,"$3,754,444","$3,754,444","$2,667",18.4%,"1,408"
65363002,Otitis media,Aetna,Commercial,"$3,754,138","$3,754,138",$175,92.6%,"21,496"
254637007,Non-small cell lung cancer (disorder),Medicaid,Government,"$3,753,269","$3,753,269","$10,089",0.1%,372
1255252008,Resorption of alveolar process due to dental trauma (disorder),Medicare,Government,"$3,748,205","$3,748,205","$2,054",3.1%,"1,825"
254637007,Non-small cell lung cancer (disorder),Dual Eligible,Government,"$3,742,897","$3,742,897","$6,409",0.2%,584
61804006,Alveolitis of jaw (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$3,726,558","$3,726,558","$2,532",100.0%,"1,472"
79586000,Tubal pregnancy,Humana,Commercial,"$3,709,041","$3,709,041","$3,605",8.8%,"1,029"
65363002,Otitis media,UnitedHealthcare,Commercial,"$3,706,171","$3,706,171",$171,60.9%,"21,718"
65363002,Otitis media,NO_INSURANCE,Self-Pay / Uninsured,"$3,682,761","$3,682,761",$172,100.0%,"21,417"
10939881000119105,Unhealthy alcohol drinking behavior (finding),NO_INSURANCE,Self-Pay / Uninsured,"$3,668,497","$3,668,497",$431,100.0%,"8,518"
302870006,Hypertriglyceridemia (disorder),Medicare,Government,"$3,657,133","$3,657,133",$630,9.5%,"5,801"
36971009,Sinusitis (disorder),Medicare,Government,"$3,597,282","$3,597,282",$241,8.5%,"14,949"
65363002,Otitis media,Cigna Health,Commercial,"$3,573,765","$3,573,765",$171,85.7%,"20,903"
444470001,Injury of anterior cruciate ligament,NO_INSURANCE,Self-Pay / Uninsured,"$3,564,367","$3,564,367","$8,823",100.0%,404
55822004,Hyperlipidemia,Aetna,Commercial,"$3,564,021","$3,564,021",$75,82.7%,"47,578"
55822004,Hyperlipidemia,Cigna Health,Commercial,"$3,501,533","$3,501,533",$73,76.5%,"47,740"
444470001,Injury of anterior cruciate ligament,Anthem,Commercial,"$3,482,799","$3,482,799","$9,070",19.6%,384
80583007,Severe anxiety (panic) (finding),NO_INSURANCE,Self-Pay / Uninsured,"$3,458,557","$3,458,557",$429,100.0%,"8,066"
401303003,Acute ST segment elevation myocardial infarction (disorder),Blue Cross Blue Shield,Commercial,"$3,452,120","$3,452,120","$3,060",18.6%,"1,128"
237602007,Metabolic syndrome X (disorder),Humana,Commercial,"$3,435,746","$3,435,746",$375,78.9%,"9,172"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Blue Cross Blue Shield,Commercial,"$3,434,325","$3,434,325","$2,745",17.9%,"1,251"
45816000,Pyelonephritis,Medicaid,Government,"$3,425,428","$3,425,428","$2,251",2.6%,"1,522"
80583007,Severe anxiety (panic) (finding),Cigna Health,Commercial,"$3,420,279","$3,420,279",$443,68.9%,"7,716"
65363002,Otitis media,Anthem,Commercial,"$3,408,578","$3,408,578",$170,61.1%,"20,030"
444470001,Injury of anterior cruciate ligament,Blue Cross Blue Shield,Commercial,"$3,405,180","$3,405,180","$9,459",35.1%,360
431856006,Chronic kidney disease stage 2 (disorder),Humana,Commercial,"$3,393,382","$3,393,382",$353,74.1%,"9,603"
30832001,Rupture of patellar tendon,UnitedHealthcare,Commercial,"$3,387,122","$3,387,122","$9,435",19.2%,359
195967001,Asthma,Medicaid,Government,"$3,373,281","$3,373,281",$123,56.4%,"27,400"
88805009,Chronic congestive heart failure (disorder),Blue Cross Blue Shield,Commercial,"$3,352,148","$3,352,148","$1,001",27.9%,"3,348"
80583007,Severe anxiety (panic) (finding),Aetna,Commercial,"$3,348,307","$3,348,307",$447,71.9%,"7,486"
86406008,Human immunodeficiency virus infection (disorder),Blue Cross Blue Shield,Commercial,"$3,335,824","$3,335,824","$1,850",53.7%,"1,803"
185086009,Chronic obstructive bronchitis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$3,308,149","$3,308,149","$9,164",100.0%,361
81629009,Traumatic dislocation of temporomandibular joint (disorder),Medicaid,Government,"$3,305,128","$3,305,128","$1,313",4.3%,"2,517"
263172003,Fracture of mandible (disorder),Medicare,Government,"$3,303,623","$3,303,623","$2,307",3.6%,"1,432"
444448004,Injury of medial collateral ligament of knee,Dual Eligible,Government,"$3,302,656","$3,302,656","$8,807",0.3%,375
128613002,Seizure disorder,Aetna,Commercial,"$3,284,015","$3,284,015","$4,924",51.4%,667
55822004,Hyperlipidemia,Anthem,Commercial,"$3,274,903","$3,274,903",$73,60.0%,"44,821"
431855005,Chronic kidney disease stage 1 (disorder),Cigna Health,Commercial,"$3,226,589","$3,226,589",$364,80.5%,"8,866"
87433001,Pulmonary emphysema (disorder),Cigna Health,Commercial,"$3,222,367","$3,222,367","$6,536",40.6%,493
75498004,Acute bacterial sinusitis (disorder),Medicare,Government,"$3,205,372","$3,205,372",$243,8.2%,"13,167"
64859006,Osteoporosis (disorder),UnitedHealthcare,Commercial,"$3,188,556","$3,188,556","$2,584",26.5%,"1,234"
30832001,Rupture of patellar tendon,Blue Cross Blue Shield,Commercial,"$3,186,550","$3,186,550","$9,183",34.8%,347
39898005,Sleep disorder (disorder),Medicaid,Government,"$3,182,559","$3,182,559",$927,6.1%,"3,435"
44054006,Diabetes mellitus type 2 (disorder),Medicaid,Government,"$3,174,156","$3,174,156",$498,7.4%,"6,375"
60234000,Aortic valve regurgitation (disorder),Dual Eligible,Government,"$3,152,382","$3,152,382","$1,850",0.7%,"1,704"
431855005,Chronic kidney disease stage 1 (disorder),Anthem,Commercial,"$3,152,292","$3,152,292",$371,60.4%,"8,499"
431855005,Chronic kidney disease stage 1 (disorder),Aetna,Commercial,"$3,146,263","$3,146,263",$359,85.4%,"8,776"
237602007,Metabolic syndrome X (disorder),Dual Eligible,Government,"$3,101,184","$3,101,184",$600,2.1%,"5,167"
128613002,Seizure disorder,Anthem,Commercial,"$3,088,802","$3,088,802","$4,926",23.0%,627
80583007,Severe anxiety (panic) (finding),Anthem,Commercial,"$3,082,920","$3,082,920",$427,57.2%,"7,228"
384709000,Sprain (morphologic abnormality),Humana,Commercial,"$3,067,825","$3,067,825",$171,80.3%,"17,950"
162864005,Body mass index 30+ - obesity (finding),Dual Eligible,Government,"$3,059,313","$3,059,313",$844,1.8%,"3,626"
128613002,Seizure disorder,Blue Cross Blue Shield,Commercial,"$3,053,197","$3,053,197","$5,228",39.1%,584
128613002,Seizure disorder,Cigna Health,Commercial,"$3,034,897","$3,034,897","$5,000",41.3%,607
64859006,Osteoporosis (disorder),Blue Cross Blue Shield,Commercial,"$3,002,229","$3,002,229","$2,568",44.2%,"1,169"
15777000,Prediabetes,NO_INSURANCE,Self-Pay / Uninsured,"$2,986,979","$2,986,979",$591,100.0%,"5,053"
156073000,Complete miscarriage (disorder),Aetna,Commercial,"$2,986,973","$2,986,973","$1,437",10.8%,"2,079"
88805009,Chronic congestive heart failure (disorder),UnitedHealthcare,Commercial,"$2,986,282","$2,986,282",$912,18.9%,"3,273"
10939881000119105,Unhealthy alcohol drinking behavior (finding),Blue Cross Blue Shield,Commercial,"$2,981,162","$2,981,162",$429,71.5%,"6,943"
55822004,Hyperlipidemia,NO_INSURANCE,Self-Pay / Uninsured,"$2,939,788","$2,939,788",$72,99.9%,"40,888"
94260004,Secondary malignant neoplasm of colon,Dual Eligible,Government,"$2,939,776","$2,939,776","$4,461",0.3%,659
80394007,Hyperglycemia (disorder),Medicare,Government,"$2,930,483","$2,930,483",$651,8.1%,"4,500"
79586000,Tubal pregnancy,Anthem,Commercial,"$2,927,848","$2,927,848","$3,793",17.9%,772
94260004,Secondary malignant neoplasm of colon,Humana,Commercial,"$2,921,128","$2,921,128","$5,430",2.5%,538
237602007,Metabolic syndrome X (disorder),Aetna,Commercial,"$2,890,712","$2,890,712",$361,81.4%,"8,006"
195967001,Asthma,Medicare,Government,"$2,874,584","$2,874,584",$121,30.8%,"23,800"
431856006,Chronic kidney disease stage 2 (disorder),Aetna,Commercial,"$2,860,032","$2,860,032",$353,74.3%,"8,109"
61804006,Alveolitis of jaw (disorder),Blue Cross Blue Shield,Commercial,"$2,855,350","$2,855,350","$2,615",24.9%,"1,092"
86406008,Human immunodeficiency virus infection (disorder),Dual Eligible,Government,"$2,851,078","$2,851,078","$1,792",0.1%,"1,591"
