Procedure Code,Procedure Name,Payer Name,Payer Type,Total Billed,Total Paid,Gap: Billed Minus Paid,Gap as % of Billed,Number of Claims
349251,(no description on file),Humana,Commercial,"$2,293","$2,293",$0,0.0%,9
108219001,Physician visit with evaluation AND/OR management service (procedure),Cigna Health,Commercial,"$1,795","$1,795",$0,0.0%,15
200064,(no description on file),Humana,Commercial,"$9,521","$9,521",$0,0.0%,23
200031,(no description on file),UnitedHealthcare,Commercial,"$2,868","$2,868",$0,0.0%,11
746804,(no description on file),Blue Cross Blue Shield,Commercial,"$2,969","$2,969",$0,0.0%,15
473220001,Hematologic disorder medication review (procedure),Cigna Health,Commercial,"$21,454","$21,454",$0,0.0%,8
751616,(no description on file),Blue Cross Blue Shield,Commercial,"$1,260","$1,260",$0,0.0%,5
313572,(no description on file),Humana,Commercial,$75,$75,$0,0.0%,2
833135,(no description on file),Cigna Health,Commercial,$998,$998,$0,0.0%,4
856448,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$1,315","$1,315",$0,0.0%,5
896762,(no description on file),UnitedHealthcare,Commercial,"$1,374","$1,374",$0,0.0%,6
387607004,Construction of diverting colostomy,Anthem,Commercial,"$125,379","$125,379",$0,0.0%,5
717778001,Mouth care (regime/therapy),Blue Cross Blue Shield,Commercial,"$3,510","$3,510",$0,0.0%,7
200095,(no description on file),Medicaid,Government,"$1,021","$1,021",$0,0.0%,5
304531008,Treatment side effects education (procedure),Humana,Commercial,"$1,869","$1,869",$0,0.0%,4
1656346,(no description on file),Humana,Commercial,$536,$536,$0,0.0%,2
363215001,Musculoskeletal system physical examination (procedure),Aetna,Commercial,"$1,478","$1,478",$0,0.0%,3
305411003,Admission to thoracic surgery department,Blue Cross Blue Shield,Commercial,$237,$237,$0,0.0%,2
858817,(no description on file),Blue Cross Blue Shield,Commercial,$794,$794,$0,0.0%,3
1658084,(no description on file),Medicaid,Government,"$2,707","$2,707",$0,0.0%,1
234817001,Insertion of oral appliance for the handicapped (procedure),Aetna,Commercial,$496,$496,$0,0.0%,1
47227006,Excision of submandibular gland (procedure),Medicaid,Government,$408,$408,$0,0.0%,1
60151004,Neonatal Screening,Cigna Health,Commercial,$468,$468,$0,0.0%,1
261962,(no description on file),Humana,Commercial,$283,$283,$0,0.0%,1
864706,(no description on file),Cigna Health,Commercial,$209,$209,$0,0.0%,1
212390,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,$283,$283,$0,0.0%,1
274788003,Examination of gingivae (procedure),Medicaid,Government,"$355,371,655","$355,371,655",$0,0.0%,"771,341"
274804006,Evaluation of uterine fundal height,Humana,Commercial,"$1,094,613,390","$1,094,613,390",$0,0.0%,"210,947"
206905,(no description on file),UnitedHealthcare,Commercial,"$4,537,294","$4,537,294",$0,0.0%,"17,606"
439740005,Postoperative follow-up visit (procedure),Medicare,Government,"$12,829,678","$12,829,678",$0,0.0%,"107,885"
62,(no description on file),UnitedHealthcare,Commercial,"$2,314,720","$2,314,720",$0,0.0%,"17,020"
710824005,Assessment of health and social care needs (procedure),Anthem,Commercial,"$206,302,548","$206,302,548",$0,0.0%,"424,099"
313782,(no description on file),UnitedHealthcare,Commercial,"$3,372,144","$3,372,144",$0,0.0%,"17,697"
183519002,Referral to cardiology service (procedure),Medicare,Government,"$13,148,070","$13,148,070",$0,0.0%,"26,874"
1259293006,Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure),Medicaid,Government,"$35,621,843","$35,621,843",$0,0.0%,"77,291"
308192,(no description on file),Blue Cross Blue Shield,Commercial,"$827,512","$827,512",$0,0.0%,"4,733"
274788003,Examination of gingivae (procedure),Humana,Commercial,"$148,079,224","$148,079,224",$0,0.0%,"293,763"
314076,(no description on file),UnitedHealthcare,Commercial,"$185,248","$185,248",$0,0.0%,"101,665"
449411000124106,Admission to skilled nursing facility (procedure),Medicare,Government,"$2,593,265","$2,593,265",$0,0.0%,"20,669"
866412,(no description on file),Medicare,Government,"$4,223,427","$4,223,427",$0,0.0%,"16,361"
1043400,(no description on file),Dual Eligible,Government,"$797,466","$797,466",$0,0.0%,"4,177"
410401003,Nursing care/supplementary surveillance (regime/therapy),Cigna Health,Commercial,"$50,769,148","$50,769,148",$0,0.0%,"5,490"
5880005,Physical examination procedure (procedure),Anthem,Commercial,"$17,644,713","$17,644,713",$0,0.0%,"36,204"
35025007,Manual pelvic examination (procedure),Medicare,Government,"$3,983,319","$3,983,319",$0,0.0%,"27,431"
394701000,Asthma follow-up,Blue Cross Blue Shield,Commercial,"$1,101,206","$1,101,206",$0,0.0%,"9,173"
68254000,Removal of intrauterine device,NO_INSURANCE,Self-Pay / Uninsured,"$20,248,178","$20,248,178",$0,0.0%,"2,439"
270427003,Patient-initiated encounter,NO_INSURANCE,Self-Pay / Uninsured,"$311,852","$311,852",$0,0.0%,"4,396"
409023009,Professional / ancillary services care (regime/therapy),Medicaid,Government,"$37,019,730","$37,019,730",$0,0.0%,"14,563"
169690007,Rubella screening,Aetna,Commercial,"$22,074,932","$22,074,932",$0,0.0%,"11,947"
52,(no description on file),Cigna Health,Commercial,"$2,201,840","$2,201,840",$0,0.0%,"16,190"
162676008,Brief general examination (procedure),Humana,Commercial,"$1,160,937","$1,160,937",$0,0.0%,"8,254"
169230002,Ultrasound scan for fetal viability,Blue Cross Blue Shield,Commercial,"$177,994,354","$177,994,354",$0,0.0%,"19,304"
233553003,Vascular cannula removal (procedure),Medicaid,Government,"$875,414","$875,414",$0,0.0%,"1,922"
10,(no description on file),UnitedHealthcare,Commercial,"$3,203,888","$3,203,888",$0,0.0%,"23,558"
854252,(no description on file),Humana,Commercial,"$125,843","$125,843",$0,0.0%,"7,436"
306316000,Referral to transplant surgeon (procedure),Medicare,Government,"$3,950,945","$3,950,945",$0,0.0%,"8,062"
162676008,Brief general examination (procedure),Cigna Health,Commercial,"$900,694","$900,694",$0,0.0%,"6,633"
359672006,Median sternotomy (procedure),Medicare,Government,"$3,316,777","$3,316,777",$0,0.0%,"6,765"
51116004,Passive immunization (procedure),UnitedHealthcare,Commercial,"$11,275,132","$11,275,132",$0,0.0%,"4,543"
108515,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$3,558,483","$3,558,483",$0,0.0%,"14,110"
309362,(no description on file),Medicaid,Government,"$5,193,191","$5,193,191",$0,0.0%,"7,415"
385798007,Radiation therapy care (regime/therapy),Blue Cross Blue Shield,Commercial,"$423,954","$423,954",$0,0.0%,847
228557008,Cognitive and behavioral therapy (regime/therapy),Dual Eligible,Government,"$18,815,279","$18,815,279",$0,0.0%,"1,872"
306316000,Referral to transplant surgeon (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$649,861","$649,861",$0,0.0%,"1,348"
234745004,Take oral or dental impression (procedure),UnitedHealthcare,Commercial,"$1,793,419","$1,793,419",$0,0.0%,"3,549"
162676008,Brief general examination (procedure),Medicaid,Government,"$2,280,598","$2,280,598",$0,0.0%,"17,506"
386394001,Pregnancy termination care,UnitedHealthcare,Commercial,"$2,545,210","$2,545,210",$0,0.0%,"3,621"
752899,(no description on file),Medicare,Government,"$1,076,310","$1,076,310",$0,0.0%,"1,691"
197604,(no description on file),Medicaid,Government,"$7,345,431","$7,345,431",$0,0.0%,"6,258"
399208008,Plain chest X-ray (procedure),Humana,Commercial,"$78,767,308","$78,767,308",$0,0.0%,"7,840"
616830,(no description on file),Humana,Commercial,"$931,915","$931,915",$0,0.0%,"3,584"
763228001,Assessment using Canadian Study of Health and Aging Clinical Frailty Scale (procedure),Medicare,Government,"$571,086","$571,086",$0,0.0%,"1,162"
229095001,Exercise class,UnitedHealthcare,Commercial,"$955,175","$955,175",$0,0.0%,"1,908"
212,(no description on file),Medicare,Government,"$1,061,480","$1,061,480",$0,0.0%,"7,805"
1534809,(no description on file),Anthem,Commercial,"$1,256,968","$1,256,968",$0,0.0%,"1,394"
433236007,Transthoracic echocardiography (procedure),UnitedHealthcare,Commercial,"$551,447","$551,447",$0,0.0%,"1,100"
1659149,(no description on file),Cigna Health,Commercial,"$8,509","$8,509",$0,0.0%,947
408919008,Psychosocial care (regime/therapy),Blue Cross Blue Shield,Commercial,"$110,158","$110,158",$0,0.0%,217
1664463,(no description on file),Humana,Commercial,"$3,379,717","$3,379,717",$0,0.0%,"13,406"
28163009,Skin test for tuberculosis  Tine test (procedure),Medicare,Government,"$21,358,008","$21,358,008",$0,0.0%,"11,029"
1807513,(no description on file),Medicaid,Government,"$13,383","$13,383",$0,0.0%,"2,335"
714812005,Induced termination of pregnancy,Cigna Health,Commercial,"$44,164,294","$44,164,294",$0,0.0%,"5,101"
180178009,Continuous subcutaneous infusion of insulin (procedure),Medicare,Government,"$711,081","$711,081",$0,0.0%,"1,450"
268533009,Sterilization education (procedure),UnitedHealthcare,Commercial,"$450,405","$450,405",$0,0.0%,886
110467000,Pre-surgery testing (procedure),Medicaid,Government,"$1,552,003","$1,552,003",$0,0.0%,"3,416"
310325,(no description on file),UnitedHealthcare,Commercial,$116,$116,$0,0.0%,391
24832002,Closed reduction of mandibular fracture (procedure),Medicaid,Government,"$222,868","$222,868",$0,0.0%,486
312961,(no description on file),Cigna Health,Commercial,"$852,657","$852,657",$0,0.0%,"2,814"
386395000,Preoperative coordination (regime/therapy),Medicare,Government,"$105,916","$105,916",$0,0.0%,901
698560000,Referral to sleep apnea clinic (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$425,455","$425,455",$0,0.0%,868
410538000,Scheduling (procedure),Anthem,Commercial,"$548,512","$548,512",$0,0.0%,"1,130"
15220000,Laboratory test (procedure),Dual Eligible,Government,"$870,174","$870,174",$0,0.0%,"1,925"
410299006,Lab findings education  guidance  and counseling (procedure),Humana,Commercial,"$123,333","$123,333",$0,0.0%,248
1648756,(no description on file),Blue Cross Blue Shield,Commercial,"$23,613","$23,613",$0,0.0%,92
76746007,Cardiovascular stress testing (procedure),Dual Eligible,Government,"$199,058","$199,058",$0,0.0%,443
305432006,Admission to surgical transplant department (procedure),Aetna,Commercial,"$96,344","$96,344",$0,0.0%,800
226719,(no description on file),Aetna,Commercial,"$210,478","$210,478",$0,0.0%,823
42825003,Cannulation (procedure),UnitedHealthcare,Commercial,"$202,547","$202,547",$0,0.0%,404
866427,(no description on file),Medicaid,Government,"$34,105","$34,105",$0,0.0%,155
865098,(no description on file),Aetna,Commercial,"$289,411","$289,411",$0,0.0%,293
709506004,Assessment of readiness for disclosure of health status (procedure),Medicaid,Government,"$60,446","$60,446",$0,0.0%,130
392021009,Lumpectomy of breast (procedure),Aetna,Commercial,"$5,038,654","$5,038,654",$0,0.0%,159
1734919,(no description on file),Medicaid,Government,"$144,407","$144,407",$0,0.0%,359
104308009,Serologic test for Toxoplasma gondii (procedure),Medicaid,Government,"$60,446","$60,446",$0,0.0%,130
349251,(no description on file),Dual Eligible,Government,"$5,995","$5,995",$0,0.0%,22
1014676,(no description on file),Dual Eligible,Government,"$26,761","$26,761",$0,0.0%,50
8290005,Induced cardioplegia (procedure),Anthem,Commercial,"$317,380","$317,380",$0,0.0%,652
434363004,Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure),Aetna,Commercial,"$557,562","$557,562",$0,0.0%,306
1808217,(no description on file),Anthem,Commercial,$317,$317,$0,0.0%,"1,157"
831533,(no description on file),Dual Eligible,Government,"$838,027","$838,027",$0,0.0%,"1,017"
198211,(no description on file),Anthem,Commercial,"$10,941","$10,941",$0,0.0%,40
180178009,Continuous subcutaneous infusion of insulin (procedure),UnitedHealthcare,Commercial,"$67,789","$67,789",$0,0.0%,139
305340004,Admission to long stay hospital,Anthem,Commercial,"$32,346","$32,346",$0,0.0%,66
1856546,(no description on file),Dual Eligible,Government,"$9,756","$9,756",$0,0.0%,479
65575008,Biopsy of prostate,Humana,Commercial,"$418,196","$418,196",$0,0.0%,161
428830000,Pretransplant evaluation of kidney recipient (procedure),Blue Cross Blue Shield,Commercial,"$268,422","$268,422",$0,0.0%,537
1804799,(no description on file),Aetna,Commercial,"$24,753,654","$24,753,654",$0,0.0%,134
762998009,Assessment using New York Heart Association Classification (procedure),Blue Cross Blue Shield,Commercial,"$125,962","$125,962",$0,0.0%,250
1747691,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$44,261","$44,261",$0,0.0%,166
1361226,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$16,760","$16,760",$0,0.0%,64
748856,(no description on file),Dual Eligible,Government,"$792,122","$792,122",$0,0.0%,967
313077009,Human immunodeficiency virus counseling (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$21,234","$21,234",$0,0.0%,44
1732136,(no description on file),Dual Eligible,Government,$180,$180,$0,0.0%,136
243150007,Assist control ventilation (regime/therapy),UnitedHealthcare,Commercial,"$117,186","$117,186",$0,0.0%,33
79094001,Initial Psychiatric Interview with mental status evaluation,Anthem,Commercial,"$5,667","$5,667",$0,0.0%,49
979471,(no description on file),Medicaid,Government,"$5,586","$5,586",$0,0.0%,25
1656356,(no description on file),Medicaid,Government,"$70,815","$70,815",$0,0.0%,324
313077009,Human immunodeficiency virus counseling (procedure),Dual Eligible,Government,"$15,957","$15,957",$0,0.0%,36
858810,(no description on file),Medicare,Government,"$11,407","$11,407",$0,0.0%,43
387685009,Surgical manipulation of shoulder joint,Medicare,Government,"$2,528,120","$2,528,120",$0,0.0%,159
856457,(no description on file),Medicare,Government,"$9,497","$9,497",$0,0.0%,36
367494004,Premature birth of newborn (finding),Aetna,Commercial,"$94,566","$94,566",$0,0.0%,187
225337009,Suicide risk assessment (procedure),Dual Eligible,Government,$434,$434,$0,0.0%,47
58828004,Application of dressing  sterile (procedure),Anthem,Commercial,"$34,979","$34,979",$0,0.0%,74
197905,(no description on file),Dual Eligible,Government,"$11,081","$11,081",$0,0.0%,49
198240,(no description on file),Aetna,Commercial,"$81,375","$81,375",$0,0.0%,108
313002,(no description on file),Blue Cross Blue Shield,Commercial,$83,$83,$0,0.0%,48
2119714,(no description on file),Cigna Health,Commercial,"$38,512","$38,512",$0,0.0%,38
167252002,Urine pregnancy test (procedure),Medicare,Government,"$19,982","$19,982",$0,0.0%,44
1665021,(no description on file),Anthem,Commercial,"$6,613","$6,613",$0,0.0%,24
859424,(no description on file),Humana,Commercial,"$2,851","$2,851",$0,0.0%,12
200032,(no description on file),Blue Cross Blue Shield,Commercial,"$1,866","$1,866",$0,0.0%,6
113120007,Interstitial brachytherapy (procedure),Anthem,Commercial,"$112,877","$112,877",$0,0.0%,6
310436,(no description on file),Blue Cross Blue Shield,Commercial,"$3,324","$3,324",$0,0.0%,64
763138,(no description on file),Blue Cross Blue Shield,Commercial,"$1,434","$1,434",$0,0.0%,6
103746007,Heparin therapy (procedure),Humana,Commercial,"$19,871","$19,871",$0,0.0%,34
261962,(no description on file),Dual Eligible,Government,$919,$919,$0,0.0%,4
801095,(no description on file),Dual Eligible,Government,"$1,254","$1,254",$0,0.0%,6
446573003,Continuous positive airway pressure titration (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$22,454","$22,454",$0,0.0%,46
113076002,Oral Glucose Tolerance Test,NO_INSURANCE,Self-Pay / Uninsured,"$1,380","$1,380",$0,0.0%,7
112001000119100,positive screening for depression on phq9,UnitedHealthcare,Commercial,"$12,445","$12,445",$0,0.0%,24
859747,(no description on file),Aetna,Commercial,"$4,819","$4,819",$0,0.0%,19
225337009,Suicide risk assessment (procedure),NO_INSURANCE,Self-Pay / Uninsured,$437,$437,$0,0.0%,47
241834,(no description on file),Humana,Commercial,"$1,454","$1,454",$0,0.0%,19
636045,(no description on file),Dual Eligible,Government,"$1,578","$1,578",$0,0.0%,7
313212,(no description on file),Aetna,Commercial,"$1,524","$1,524",$0,0.0%,7
303653007,Computed tomography of head (procedure),Anthem,Commercial,"$4,491","$4,491",$0,0.0%,9
199885,(no description on file),Blue Cross Blue Shield,Commercial,"$1,082","$1,082",$0,0.0%,4
896762,(no description on file),Blue Cross Blue Shield,Commercial,"$1,216","$1,216",$0,0.0%,5
979464,(no description on file),Cigna Health,Commercial,"$1,513","$1,513",$0,0.0%,6
898367,(no description on file),Cigna Health,Commercial,$584,$584,$0,0.0%,2
200285,(no description on file),Dual Eligible,Government,$768,$768,$0,0.0%,4
268400002,12 lead electrocardiogram (procedure),Blue Cross Blue Shield,Commercial,"$4,706","$4,706",$0,0.0%,6
856535,(no description on file),Blue Cross Blue Shield,Commercial,"$1,648","$1,648",$0,0.0%,6
197558,(no description on file),Blue Cross Blue Shield,Commercial,$440,$440,$0,0.0%,2
60151004,Neonatal Screening,Blue Cross Blue Shield,Commercial,"$1,408","$1,408",$0,0.0%,3
200284,(no description on file),Anthem,Commercial,$558,$558,$0,0.0%,2
751616,(no description on file),Anthem,Commercial,"$2,047","$2,047",$0,0.0%,7
86964003,Sweat Test,UnitedHealthcare,Commercial,$799,$799,$0,0.0%,2
1940648,(no description on file),Medicaid,Government,$367,$367,$0,0.0%,5
180030006,Amputation of right foot,Aetna,Commercial,"$92,802","$92,802",$0,0.0%,4
746466,(no description on file),UnitedHealthcare,Commercial,$308,$308,$0,0.0%,1
858813,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,$209,$209,$0,0.0%,1
200285,(no description on file),UnitedHealthcare,Commercial,$492,$492,$0,0.0%,2
979464,(no description on file),Humana,Commercial,$283,$283,$0,0.0%,1
363215001,Musculoskeletal system physical examination (procedure),Cigna Health,Commercial,$408,$408,$0,0.0%,1
856481,(no description on file),Cigna Health,Commercial,$551,$551,$0,0.0%,2
185349003,Encounter for check up (procedure),Anthem,Commercial,"$27,143,560","$27,143,560",$0,0.0%,"387,849"
314231,(no description on file),Dual Eligible,Government,"$45,494","$45,494",$0,0.0%,"70,803"
169230002,Ultrasound scan for fetal viability,UnitedHealthcare,Commercial,"$164,548,047","$164,548,047",$0,0.0%,"17,802"
630208,(no description on file),Dual Eligible,Government,"$6,432,819","$6,432,819",$0,0.0%,"27,992"
169230002,Ultrasound scan for fetal viability,Aetna,Commercial,"$228,300,471","$228,300,471",$0,0.0%,"25,768"
440546007,Discussion about pregnancy (procedure),Medicaid,Government,"$3,457,154","$3,457,154",$0,0.0%,"7,431"
274804006,Evaluation of uterine fundal height,Medicaid,Government,"$2,578,315,456","$2,578,315,456",$0,0.0%,"536,199"
424441002,Prenatal initial visit,Aetna,Commercial,"$3,025,892","$3,025,892",$0,0.0%,"25,768"
51116004,Passive immunization (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$13,911,601","$13,911,601",$0,0.0%,"5,693"
423475008,Heart failure education (procedure),Dual Eligible,Government,"$870,294","$870,294",$0,0.0%,"1,916"
182813001,Emergency treatment (procedure),Cigna Health,Commercial,"$667,597","$667,597",$0,0.0%,"5,673"
24623002,Screening mammography (procedure),Medicare,Government,"$71,931","$71,931",$0,0.0%,611
46706006,Replacement of contraceptive intrauterine device,Medicare,Government,"$44,007,076","$44,007,076",$0,0.0%,"5,126"
288086009,Suture open wound,Blue Cross Blue Shield,Commercial,"$48,750,162","$48,750,162",$0,0.0%,"5,348"
10,(no description on file),Cigna Health,Commercial,"$2,705,040","$2,705,040",$0,0.0%,"19,890"
763302001,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),Cigna Health,Commercial,"$7,988","$7,988",$0,0.0%,"130,708"
309309,(no description on file),Dual Eligible,Government,"$395,346","$395,346",$0,0.0%,"1,731"
245134,(no description on file),Dual Eligible,Government,"$8,594,397","$8,594,397",$0,0.0%,"37,823"
1665060,(no description on file),Cigna Health,Commercial,"$322,234","$322,234",$0,0.0%,"1,257"
312961,(no description on file),Anthem,Commercial,"$815,928","$815,928",$0,0.0%,"2,552"
117010004,Urine culture,UnitedHealthcare,Commercial,"$23,357,160","$23,357,160",$0,0.0%,"11,848"
197454,(no description on file),Medicaid,Government,"$975,133","$975,133",$0,0.0%,"4,200"
849574,(no description on file),Medicaid,Government,"$5,002,514","$5,002,514",$0,0.0%,"23,604"
428211000124100,Assessment of substance use (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$1,241,962","$1,241,962",$0,0.0%,"245,306"
1043400,(no description on file),Medicaid,Government,"$3,701,495","$3,701,495",$0,0.0%,"19,136"
40701008,Echocardiography (procedure),Medicare,Government,"$22,995,397","$22,995,397",$0,0.0%,"25,006"
449381000124108,Discharge from skilled nursing facility (procedure),Cigna Health,Commercial,"$1,825,985","$1,825,985",$0,0.0%,"3,859"
52,(no description on file),Medicaid,Government,"$4,968,216","$4,968,216",$0,0.0%,"36,531"
443529005,Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),Humana,Commercial,"$47,710,557","$47,710,557",$0,0.0%,"24,135"
834102,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$558,212","$558,212",$0,0.0%,"2,670"
367336001,Chemotherapy (procedure),Dual Eligible,Government,"$1,120,972","$1,120,972",$0,0.0%,"2,417"
310861008,Chlamydia antigen test,UnitedHealthcare,Commercial,"$23,364,371","$23,364,371",$0,0.0%,"11,848"
1256042007,Restoration of tooth with coverage of all cusps using dental filling material (procedure),Humana,Commercial,"$14,873,010","$14,873,010",$0,0.0%,"29,513"
1719286,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,$401,$401,$0,0.0%,"3,742"
979485,(no description on file),Medicaid,Government,"$50,101","$50,101",$0,0.0%,"10,767"
65200003,Insertion of intrauterine contraceptive device,Aetna,Commercial,"$71,332,401","$71,332,401",$0,0.0%,"8,188"
616830,(no description on file),Aetna,Commercial,"$878,875","$878,875",$0,0.0%,"3,382"
118001005,Streptococcus pneumoniae group B antigen assay,UnitedHealthcare,Commercial,"$20,791,959","$20,791,959",$0,0.0%,"10,572"
288086009,Suture open wound,UnitedHealthcare,Commercial,"$43,210,221","$43,210,221",$0,0.0%,"4,832"
183478001,Emergency hospital admission for asthma,Humana,Commercial,"$366,610","$366,610",$0,0.0%,"2,808"
165197003,Diagnostic assessment (procedure),Aetna,Commercial,"$281,269","$281,269",$0,0.0%,592
46706006,Replacement of contraceptive intrauterine device,UnitedHealthcare,Commercial,"$15,400,945","$15,400,945",$0,0.0%,"1,746"
281789004,Antibiotic therapy (procedure),Cigna Health,Commercial,"$3,319,538","$3,319,538",$0,0.0%,"6,804"
14768001,Peripheral blood smear interpretation,Medicare,Government,"$3,093,477","$3,093,477",$0,0.0%,"6,267"
42825003,Cannulation (procedure),Dual Eligible,Government,"$649,320","$649,320",$0,0.0%,"1,442"
1860491,(no description on file),Cigna Health,Commercial,"$4,284,386","$4,284,386",$0,0.0%,"16,304"
748962,(no description on file),Dual Eligible,Government,"$800,776","$800,776",$0,0.0%,997
223495004,Preparation of patient for procedure (regime/therapy),Aetna,Commercial,"$569,300","$569,300",$0,0.0%,"1,186"
236931002,Methotrexate injection into tubal pregnancy,Blue Cross Blue Shield,Commercial,"$350,598","$350,598",$0,0.0%,149
168594001,Clavicle X-ray,NO_INSURANCE,Self-Pay / Uninsured,"$536,012","$536,012",$0,0.0%,"1,105"
736169004,Post anesthesia care management (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$1,086,401","$1,086,401",$0,0.0%,"2,232"
1998774,(no description on file),Dual Eligible,Government,"$362,048","$362,048",$0,0.0%,"1,617"
978950,(no description on file),Dual Eligible,Government,"$755,649","$755,649",$0,0.0%,929
709138001,Notification of treatment plan (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$515,045","$515,045",$0,0.0%,"1,060"
269828009,Syphilis infectious titer test (procedure),Anthem,Commercial,"$31,954,495","$31,954,495",$0,0.0%,"16,835"
399208008,Plain chest X-ray (procedure),Blue Cross Blue Shield,Commercial,"$45,539,493","$45,539,493",$0,0.0%,"4,568"
287664005,Bilateral tubal ligation,Humana,Commercial,"$14,171,644","$14,171,644",$0,0.0%,"1,941"
31676001,Human immunodeficiency virus antigen test,Dual Eligible,Government,"$6,817,150","$6,817,150",$0,0.0%,"3,811"
861467,(no description on file),Aetna,Commercial,"$137,837","$137,837",$0,0.0%,"1,332"
709010006,Liaising with referral source (procedure),Dual Eligible,Government,"$210,662","$210,662",$0,0.0%,464
183444007,Referral for further care (procedure),Medicaid,Government,"$883,065","$883,065",$0,0.0%,"1,899"
390791001,Referral for echocardiography (procedure),Humana,Commercial,"$721,905","$721,905",$0,0.0%,"1,425"
183856001,Referral to hypertension clinic,Humana,Commercial,"$243,671","$243,671",$0,0.0%,483
305336008,Admission to hospice (procedure),UnitedHealthcare,Commercial,"$35,318","$35,318",$0,0.0%,274
1796676,(no description on file),Anthem,Commercial,"$282,466","$282,466",$0,0.0%,"1,075"
52765003,Intubation,Humana,Commercial,"$557,360","$557,360",$0,0.0%,"1,392"
9564003,Complete blood count with white cell differential  automated (procedure),Aetna,Commercial,"$873,950","$873,950",$0,0.0%,"1,780"
212033,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$133,114","$133,114",$0,0.0%,511
105376000,Transesophageal echocardiography (procedure),Medicare,Government,"$221,746","$221,746",$0,0.0%,452
312853008,Medical records review (procedure),Medicaid,Government,"$112,653","$112,653",$0,0.0%,246
80146002,Appendectomy,UnitedHealthcare,Commercial,"$4,355,323","$4,355,323",$0,0.0%,363
74016001,Knee X-ray,NO_INSURANCE,Self-Pay / Uninsured,"$317,490","$317,490",$0,0.0%,671
433114000,Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),Humana,Commercial,"$79,723","$79,723",$0,0.0%,325
762998009,Assessment using New York Heart Association Classification (procedure),Cigna Health,Commercial,"$190,619","$190,619",$0,0.0%,396
16335031000119103,High resolution computed tomography of chest without contrast (procedure),Aetna,Commercial,"$413,919","$413,919",$0,0.0%,475
1547672,(no description on file),Humana,Commercial,"$29,743","$29,743",$0,0.0%,92
25656009,Physical examination  complete (procedure),UnitedHealthcare,Commercial,"$110,415","$110,415",$0,0.0%,224
26604007,Complete blood count (procedure),Aetna,Commercial,"$209,278","$209,278",$0,0.0%,432
979492,(no description on file),Humana,Commercial,"$66,088","$66,088",$0,0.0%,254
183450002,Admission to burn unit,Blue Cross Blue Shield,Commercial,"$34,239","$34,239",$0,0.0%,69
856980,(no description on file),Medicaid,Government,$360,$360,$0,0.0%,29
1361226,(no description on file),UnitedHealthcare,Commercial,"$9,488","$9,488",$0,0.0%,39
636045,(no description on file),Medicaid,Government,"$3,441","$3,441",$0,0.0%,16
1721613,(no description on file),Medicare,Government,"$42,406","$42,406",$0,0.0%,149
33633005,Prescription of drug (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$19,273","$19,273",$0,0.0%,38
410011004,Administration of anesthesia AND/OR sedation (procedure),Medicare,Government,"$379,371","$379,371",$0,0.0%,767
1014678,(no description on file),Cigna Health,Commercial,"$48,288","$48,288",$0,0.0%,81
392091000,Care regimes assessment (procedure),Anthem,Commercial,"$439,208","$439,208",$0,0.0%,770
234262008,Excision of axillary lymph node (procedure),Dual Eligible,Government,"$117,483","$117,483",$0,0.0%,101
1809104,(no description on file),Medicaid,Government,"$3,131","$3,131",$0,0.0%,690
312681000,Bone density scan (procedure),UnitedHealthcare,Commercial,"$7,276,433","$7,276,433",$0,0.0%,819
408919008,Psychosocial care (regime/therapy),NO_INSURANCE,Self-Pay / Uninsured,"$146,492","$146,492",$0,0.0%,291
999998,(no description on file),Aetna,Commercial,"$7,007","$7,007",$0,0.0%,26
999999,(no description on file),Dual Eligible,Government,"$25,673","$25,673",$0,0.0%,111
312384001,Multidisciplinary assessment (procedure),Humana,Commercial,"$36,954","$36,954",$0,0.0%,73
365853002,Imaging finding (finding),Anthem,Commercial,"$8,969","$8,969",$0,0.0%,17
562366,(no description on file),Humana,Commercial,$68,$68,$0,0.0%,207
183976008,Operative procedure planned (situation),Aetna,Commercial,"$37,480","$37,480",$0,0.0%,79
