Hospital,Patients,Visits,Actual cost per visit,Cost per visit if all prices were equal,"% of it that is pricing, not case mix"
"ADVOCATE NORTH SIDE HEALTH NETWORK (PARK RIDGE, IL)",3010,35099,3183,3079,3.3
"SCHWAB REHABILITATION HOSPITAL (CHICAGO, IL)",2528,47613,3180,3097,2.6
"TRISTAR SOUTHERN HILLS MEDICAL CENTER (NASHVILLE, TN)",5640,70210,3179,3513,-10.5
"UPMC PRESBYTERIAN SHADYSIDE (PITTSBURGH, PA)",3750,48634,3166,3280,-3.6
"MENORAH PARK CENTER FOR SENIOR LIVING (BEACHWOOD, OH)",1916,3921,3164,3603,-13.9
"STATE OF TENNESSEE (NASHVILLE, TN)",2019,37742,3157,3508,-11.1
"ST CLAIR HOSPITAL (PITTSBURGH, PA)",2485,32205,3153,3248,-3.0
"VHS SINAI GRACE HOSPITAL INC (DETROIT, MI)",11025,221714,3151,3162,-0.4
"HUMAN TOUCH HOME HEALTH CARE AGENCY  INC (WASHINGTON, DC)",1282,2885,3147,2572,18.3
"SELFHELP HOME OF CHICAGO (CHICAGO, IL)",1704,3547,3136,2893,7.8
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FRANKL (FRANKLIN, TN)",1524,28709,3125,3431,-9.8
"RUSH UNIVERSITY MEDICAL CENTER (OAK PARK, IL)",1695,35157,3113,3047,2.1
"CURAHEALTH NASHVILLE  LLC (NASHVILLE, TN)",4352,78119,3106,3427,-10.4
"VILLA ST JOSEPH (GARFIELD HEIGHTS, OH)",4720,10473,3102,3560,-14.8
"BCA STONECREST CENTER (DETROIT, MI)",2874,60937,3094,3116,-0.7
"SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC (PITTSBURG, PA)",2174,28014,3091,3183,-3.0
"TRISTAR STONECREST MEDICAL CENTER (SMYRNA, TN)",3416,62901,3073,3394,-10.5
"UPMC MERCY (PITTSBURGH, PA)",3125,59049,3067,3174,-3.5
"ASCENSION ST JOHN HOSPITAL (DETROIT, MI)",3341,50982,3060,3055,0.2
"HENRY FORD HEALTH SYSTEM (FERNDALE, MI)",3723,75303,3054,3067,-0.4
"SELECT SPECIALTY HOSPITAL-WYANDOTTE  LLC (WYANDOTTE, MI)",1500,17602,3052,3054,-0.1
"RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER (ROSLINDALE, MA)",1395,2693,3050,3358,-10.1
"HCA HEALTH SERVICES OF TENNESSEE  INC (HERMITAGE, TN)",2363,45369,3036,3349,-10.3
"ASCENSION PROVIDENCE HOSPITAL (SOUTHFIELD, MI)",1332,26310,3021,3014,0.2
"TENDERLOIN HEALTH SERVICES (SAN FRANCISCO, CA)",2056,5532,3016,2353,22.0
"CONTINUUM CARE HOSPICE (PARMA, OH)",8620,19073,2999,3468,-15.6
"THE CHILDRENS HOME OF PITTSBURGH (PITTSBURGH, PA)",1671,35279,2986,3066,-2.7
"HARPER UNIVERSITY HOSPITAL (DETROIT, MI)",8957,172504,2978,2976,0.1
"KATZMAN FAMILY CENTER FOR LIVING (CHELSEA, MA)",1440,2682,2976,3325,-11.7
"CARLTON AT THE LAKE  THE (CHICAGO, IL)",2027,4725,2968,2760,7.0
"VANDERBILT UNIVERSITY MEDICAL CENTER (NASHVILLE, TN)",1961,41039,2968,3268,-10.1
"TRISTAR SKYLINE MEDICAL CENTER (NASHVILLE, TN)",4930,61790,2960,3268,-10.4
"OHIO VALLEY MEDICAL SERVICES INC (MCKEES ROCKS, PA)",1785,20993,2931,3052,-4.1
"TAMPA FAMILY HEALTH CENTERS  INC (TAMPA, FL)",2790,7736,2929,2214,24.4
"San Francisco Vet Center (San Francisco, CA)",1091,53841,2926,2401,18.0
"MT ALVERNA HOME INC (PARMA, OH)",3222,7706,2914,3342,-14.7
"UPMC ST MARGARET (PITTSBURGH, PA)",2684,53769,2898,2972,-2.6
"OMNI CONTINUING CARE (DETROIT, MI)",2468,6182,2891,2763,4.4
"APPLE HOME HEALTHCARE (CHICAGO, IL)",1632,3475,2880,2585,10.3
"DIPLOMAT HEALTHCARE (NORTH ROYALTON, OH)",2521,6118,2863,3195,-11.6
"SELECT SPECIALTY HOSPITAL-NASHVILLE (NASHVILLE, TN)",3263,59657,2859,3169,-10.8
"TRISTAR SUMMIT MEDICAL CENTER (MT JULIET, TN)",2597,47105,2858,3163,-10.7
"STRAITH HOSPITAL FOR SPECIAL SURGERY (SOUTHFIELD, MI)",2129,45787,2858,2855,0.1
"KAISER FOUNDATION HOSP HOME HEALTH - SAN FRANCISCO (SAN FRANCISCO, CA)",2146,5995,2837,2279,19.7
"WATERFORD CARE CENTER  THE (CHICAGO, IL)",1396,2918,2815,2771,1.6
"ELIZA BRYANT CENTER (CLEVELAND, OH)",9772,23912,2814,3233,-14.9
"HCA HEALTH SERVICES OF TENNESSEE  INC (ASHLAND CITY, TN)",2611,34063,2802,3093,-10.4
"CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHABILITATION (WESTLAKE, OH)",2495,25650,2799,3297,-17.8
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (MAYFIELD HTS, OH)",1804,35855,2793,3300,-18.2
"SOUTH OF MARKET HEALTH CENTER (SAN FRANCISCO, CA)",2919,8925,2776,2175,21.7
"MARY'S CENTER FOR MATERNAL AND CHILD CARE  INC (WASHINGTON, DC)",3005,8286,2772,2244,19.0
"Austin Outpatient Clinic (Austin, TX)",1808,39840,2771,2593,6.4
"CARDIO CARE INC. (CHICAGO, IL)",1565,3227,2766,2626,5.1
"COMPREHENSIVE HOME CARE INC. (CHICAGO, IL)",1033,2337,2753,2614,5.0
"OPTION CARE (ITASCA, IL)",1134,2533,2726,2566,5.9
"WESTPARK HEALTHCARE CAMPUS (CLEVELAND, OH)",6693,15796,2705,3067,-13.4
"EASTBROOK HEALTHCARE CENTER (CLEVELAND, OH)",2804,6588,2704,3139,-16.1
"Auburn Gresham (Chicago) Clinic (Chicago, IL)",1395,67136,2703,2603,3.7
"AVENUE CARE AND REHABILITATION CENTER  THE (WARRENSVILLE HEIGHTS, OH)",2578,5947,2695,3087,-14.6
"Evanston Vet Center (Evanston, IL)",1546,72439,2686,2600,3.2
"THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS (CHICAGO, IL)",12803,94243,2678,2599,3.0
"ESPERANZA HOME HEALTH CARE  INC (ELMWOOD PARK, IL)",1290,2911,2677,2394,10.6
"CLEVELAND EAST VASCULAR CARE  LLC (BEACHWOOD, OH)",7807,162622,2676,3136,-17.2
"ASSOCIATES HOME HEALTH  INC (DES PLAINES, IL)",2423,5131,2672,2499,6.5
"ST VINCENT CHARITY MEDICAL CENTER (CLEVELAND, OH)",43254,890060,2661,3121,-17.3
"GRACE HOSPITAL (PARMA, OH)",20253,416335,2658,3115,-17.2
"SOUTHWEST GENERAL HEALTH CENTER (STRONGSVILLE, OH)",1079,22476,2650,3105,-17.2
"CLEVELAND CLINIC HOSPICE (INDEPENDENCE, OH)",1133,2807,2647,2957,-11.7
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (EUCLID, OH)",38107,795578,2646,3108,-17.5
"HEALTHSOUTH HARMARVILLE REHABILITATION HOSPITAL (PITTSBURGH, PA)",1476,18837,2645,2745,-3.8
"PROMEDICA SKILLED NSG & REHAB GROSSE POINTE WOODS (GROSSE POINTE WOODS, MI)",1768,4257,2632,2609,0.9
"STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING (NORTHFIELD, OH)",2362,46973,2630,3089,-17.5
"SOUTHWEST GENERAL HEALTH CENTER (MIDDLEBURG HEIGHTS, OH)",27746,578554,2630,3089,-17.5
"Lakeside Clinic (Chicago, IL)",1505,74236,2607,2514,3.5
"SELECT SPECIALTY HOSPITAL - CLEVELAND  LLC (CLEVELAND, OH)",24278,513843,2602,3058,-17.5
"LUTHERAN HOSPITAL (CLEVELAND, OH)",36789,765368,2601,3055,-17.5
"PARMA COMMUNITY GENERAL HOSPITAL ASSOCIATION (PARMA, OH)",7097,144590,2595,3057,-17.8
"Jesse Brown VA Medical Center (Chicago, IL)",2048,101821,2593,2511,3.2
"UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER (WESTLAKE, OH)",4400,55615,2587,3040,-17.5
"FAIRVIEW HOSPITAL (WESTLAKE, OH)",2416,25740,2583,3028,-17.2
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (WARRENSVILLE HEIGHTS, OH)",9848,204663,2582,3029,-17.3
"PARMA COMMUNITY GENERAL HOSPITAL (SEVEN HILLS, OH)",13967,296267,2578,3021,-17.2
"THE METROHEALTH SYSTEM (CLEVELAND, OH)",44251,834622,2572,3016,-17.3
"UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER (CLEVELAND, OH)",42505,880023,2570,3014,-17.3
"NEW MANNA CLG LLC (BEACHWOOD, OH)",5291,111503,2563,3006,-17.3
"REGENCY HOSPITAL OF CLEVELAND EAST (WARRENSVILLE HEIGHTS, OH)",2985,41242,2551,2990,-17.2
"UH REGIONAL HOSPITALS (WARRENSVILLE HEIGHTS, OH)",3004,45333,2543,2965,-16.6
"CROSSROADS HOSPICE OF CLEVELAND  LLC (VALLEY VIEW, OH)",1722,4342,2531,2859,-13.0
"BEACHWOOD RH LLC (BEACHWOOD, OH)",2051,42254,2530,2940,-16.2
"PARMA CARE CENTER (PARMA, OH)",2567,5788,2527,2859,-13.1
"WE CARE HOME HEALTH  INC (CHICAGO, IL)",1190,3145,2517,2221,11.8
"UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER (WESTLAKE, OH)",2444,25977,2502,2919,-16.7
"MARYMOUNT HOSPITAL INC (GARFIELD HEIGHTS, OH)",19765,414452,2495,2928,-17.4
"THE METROHEALTH SYSTEM (WESTLAKE, OH)",2451,27506,2491,2890,-16.0
"SOUTH COVE COMMUNITY HEALTH CENTER  INC (BOSTON, MA)",1660,3887,2486,2671,-7.4
"PHYSICIANS PREFERRED HOME CARE  INC (CHICAGO, IL)",2616,6351,2459,2299,6.5
"CHELSEA JEWISH VISITING NURSE AGENCY (CHELSEA, MA)",1032,2183,2455,2712,-10.5
"C C HOME HEALTH CENTRAL INC (AUSTIN, TX)",1194,2959,2422,2112,12.8
"NORTHWESTERN CENTER (BEREA, OH)",1108,2880,2400,2795,-16.4
"BOOKER FAMILY HEALTH CENTER (CHICAGO, IL)",1353,3521,2391,2281,4.6
"BEREA CENTER (BEREA, OH)",3109,7747,2382,2708,-13.7
"WELSH HOME THE (ROCKY RIVER, OH)",2804,6628,2379,2702,-13.6
"Austin Vet Center (Austin, TX)",1838,44157,2375,2218,6.6
"SUNCREST HOME HEALTH SERVICES (NASHVILLE, TN)",1447,4177,2295,2293,0.1
"LEE DAVIS HEALTH CENTER (TAMPA, FL)",1878,6831,2287,1765,22.8
"DIAMONDS & PEARLS HEALTH SERVICES LLC (BEACHWOOD, OH)",3074,6629,2278,2600,-14.1
"WILLOWS HEALTH AND REHAB CTR (EUCLID, OH)",7354,17083,2254,2573,-14.2
"WILLCARE (EUCLID, OH)",3680,8636,2253,2534,-12.5
"MATTAPAN COMMUNITY HEALTH CENTER (MATTAPAN, MA)",1891,4574,2252,2389,-6.1
"John D. Dingell VA Medical Center (Detroit, MI)",1012,54556,2240,2268,-1.2
"COMMUNITYCARE - MANOR (MANOR, TX)",1723,4724,2235,2055,8.1
"CRESTMONT NORTH NURSING HOME (LAKEWOOD, OH)",6761,17108,2233,2533,-13.5
"HIGHLAND POINTE HEALTH & REHAB CENTER (HIGHLAND HEIGHTS, OH)",1069,2883,2207,2589,-17.3
"Parma Vet Center (Parma, OH)",2028,110574,2168,2532,-16.8
"OUTREACH HOME HEALTH SERVICES (CLEVELAND, OH)",5386,13352,2165,2438,-12.6
"PROTEM HOMECARE (SHAKER HEIGHTS, OH)",5666,13756,2156,2383,-10.5
"SEASONS OF CARE HEALTH SERVICES  LLC (MIDDLEBURG HEIGHTS, OH)",2297,6077,2153,2354,-9.3
"BLUE ISLAND MEDICAL CENTER (BLUE ISLAND, IL)",1389,4357,2141,2053,4.1
"HOLY FAMILY HOME HEALTH CARE (PARMA, OH)",2493,6637,2118,2259,-6.7
"McCafferty Vet Center Outstation (Cleveland, OH)",3912,117912,2083,2423,-16.3
"KEDZIE FAMILY HEALTH CENTER (CHICAGO, IL)",2874,9417,2082,1912,8.1
"Cleveland Vet Center (Maple Heights, OH)",3321,176772,2077,2417,-16.3
"ECONOMIC OPPORTUNITY FAMILY HLTH CTR (MIAMI, FL)",1565,6468,2076,1587,23.5
"EAGLE HOME HEALTHCARE (CLEVELAND, OH)",4487,11557,2073,2297,-10.8
"SFHC SOUTHWEST FAMILY HEALTH CENTER (CHICAGO, IL)",2725,8732,2037,1942,4.7
"COMMUNITYCARE (AUSTIN, TX)",6586,21974,2030,1821,10.3
"COVENANT COMMUNITY CARE  INC (DETROIT, MI)",2570,8555,2019,1970,2.4
"UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER (CHICAGO, IL)",1715,6040,1990,1875,5.8
"UNIVERSITY HOSPITAL HOME CARE SERVICES  INC (WARRENSVILLE HEIGHTS, OH)",1375,3734,1983,2243,-13.1
"Parma Community Based Outpatient Clinic (Parma, OH)",1002,54249,1978,2285,-15.5
"UNIVERSITY OF IL AT CHICAGO - MILE SQUARE HC AT BA (CHICAGO, IL)",1747,6451,1956,1832,6.3
"CHICAGO FAMILY HEALTH CENTER (CHICAGO, IL)",1768,6289,1946,1803,7.4
"MELROSE PARK FAMILY HEALTH CENTER (MELROSE PARK, IL)",1050,3724,1930,1804,6.6
"McCafferty Community Based Outpatient Clinic (Cleveland, OH)",3880,113096,1925,2245,-16.7
"BOLINAS COMMUNITY HEALTH CENTER (BOLINAS, CA)",3125,15802,1919,1589,17.2
"COMMUNITYCARE - SOUTH AUSTIN (AUSTIN, TX)",1091,4238,1917,1723,10.1
"TAMAYO URGENT CARE INC (MIAMI SHORES, FL)",3732,24619,1912,1454,23.9
"AMEDISYS HOME HEALTH (NASHVILLE, TN)",1821,5461,1886,2025,-7.4
"ERIE WESTSIDE FAMILY HEALTH CENTER (CHICAGO, IL)",1750,6290,1854,1777,4.2
"BROOKDALE HOME HEALTH CLEVELAND (BROOKLYN HEIGHTS, OH)",4976,14880,1848,2112,-14.3
"DOWNTOWN MEDICAL CLINIC (NASHVILLE, TN)",1987,6322,1836,1961,-6.8
"BRUCE DOUGLAS HEALTH CENTER (DETROIT, MI)",1348,5069,1823,1779,2.4
"COMMUNITYCARE - ROSEWOOD- ZARAGOSA (AUSTIN, TX)",2126,9116,1815,1627,10.4
"MIAMI URGENT CARE PA (CORAL GABLES, FL)",5732,37109,1813,1378,24.0
"CHICAGO FAMILY HEALTH CENTER  INC (CHICAGO, IL)",3490,14211,1810,1668,7.9
"COMMUNITYCARE - NORTH CENTRAL (AUSTIN, TX)",1476,6241,1804,1621,10.1
"ACCESS HAWTHORNE FAMILY HEALTH CENTER (CICERO, IL)",1084,4645,1799,1726,4.0
"GRAND BLVD PLAZA FAMILY HEALTH CENTER (CHICAGO, IL)",1748,7241,1786,1693,5.2
"AVANTGARDE URGENT CARE  LLC (TAMPA, FL)",1671,9633,1783,1359,23.8
"HAZELWOOD FAMILY HEALTH CENTER (PITTSBURGH, PA)",1729,6683,1764,1801,-2.1
"DIMOCK COMMUNITY HEALTH CENTER  INC (ROXBURY, MA)",2363,7995,1760,1914,-8.7
"ERIE EVANSTON HEALTH CENTER (EVANSTON, IL)",1009,3818,1758,1687,4.0
"DCHC WOODWARD CORRIDOR FAMILY MEDICAL CENTER (DETROIT, MI)",1418,6204,1755,1715,2.3
"MAIN STREET CLINIC (NASHVILLE, TN)",2670,9598,1744,1812,-3.9
"MADISON FAMILY HEALTH CENTER (CHICAGO, IL)",2086,9652,1726,1637,5.1
"EAST CLEVELAND HEALTH CENTER (EAST CLEVELAND, OH)",5505,18728,1721,1984,-15.3
"UIC-MILE SQUARE AT CICERO (CICERO, IL)",1360,6290,1718,1604,6.7
"THE WELLNESS PLAN-EAST AREA HEALTH CENTER (DETROIT, MI)",1865,7319,1715,1698,1.0
"A PLUS FAMILY URGENT CARE LLC (TAMPA, FL)",1494,9135,1712,1304,23.8
"FLORIDA URGENT CARE PARTNERS (TEMPLE TERRACE, FL)",1347,8184,1702,1294,23.9
"WARREN FAMILY HEALTH CENTER (CHICAGO, IL)",2053,9087,1693,1626,4.0
"SUPERIOR CENTER (CLEVELAND, OH)",6560,23750,1688,1906,-12.9
"ALIVIO MEDICAL CENTER  INC (CHICAGO, IL)",2752,11199,1686,1619,4.0
"CLINIC IN ALTGELD INC  THE (CHICAGO, IL)",2010,9786,1677,1585,5.5
"HEALTHRIGHT 360 (SAN FRANCISCO, CA)",1970,8193,1666,1401,15.9
"EAST END COMMUNITY HEALTH CENTER (PITTSBURGH, PA)",1116,4284,1658,1678,-1.2
"HIGH PERFORMANCE HEALTHCARE CORPORATION (MIAMI, FL)",2252,9900,1639,1283,21.7
"INSPIRE MEDICAL CLINIC LLC (TAMPA, FL)",1053,4689,1628,1279,21.4
"BORINQUEN HEALTH CARE CENTER INC (MIAMI, FL)",2455,10936,1615,1277,20.9
"LEWIS URGENT CARE PLLC (DRIPPING SPRINGS, TX)",1893,9344,1607,1431,11.0
"AUNT MARTHA'S SOUTHEAST SIDE COMMUNITY HEALTH CTR (CHICAGO, IL)",2234,9885,1606,1557,3.1
"STO ROX FAMILY HLTH CTR (MC KEES ROCKS, PA)",1694,7079,1606,1628,-1.4
"GRAND HEALTH CARE CONSULTING LLC (MIAMI, FL)",1188,5292,1603,1267,21.0
"CITY BAY URGENT CARE  A MEDICAL CORPORATION (SAN FRANCISCO, CA)",6412,39545,1599,1378,13.8
"JESSIE TRICE COMMUNITY HEALTH SYSTEM INC (MIAMI, FL)",1609,7212,1594,1267,20.6
"PILSEN FAMILY HEATLH CENTER (CHICAGO, IL)",2338,11591,1592,1505,5.5
"BUNCKE MEDICAL CLINIC INC. (SAN FRANCISCO, CA)",1410,5898,1592,1342,15.7
"BRADDOCK FAMILY HEALTH CENTER (BRADDOCK, PA)",1031,5521,1592,1585,0.4
"RX HOME HEALTHCARE  INC (CLEVELAND, OH)",3645,13658,1591,1789,-12.4
"HARVARD STREET NEIGHBORHOOD HEALTH CENTER (DORCHESTER, MA)",2151,8865,1588,1780,-12.1
"GOLDEN GATE URGENT CARE INC (SAN FRANCISCO, CA)",3987,24355,1584,1366,13.8
"STANLEY C MYERS COMMUNITY HEALTH CTR (MIAMI BEACH, FL)",3519,15452,1578,1256,20.4
"VICTORY URGENT CARE LLC (WEST LAKE HILLS, TX)",3947,19112,1575,1405,10.8
"REMEDY URGENT CARE PLLC (AUSTIN, TX)",8259,40775,1573,1401,10.9
"VITUITY - URGENT CARE SERVICES PC (SAN FRANCISCO, CA)",9578,58458,1571,1360,13.5
"EXPRESSMD URGENT CARE PLLC (PFLUGERVILLE, TX)",2061,11347,1570,1400,10.8
"GLOWING HEALTHCARE LLC (MIAMI, FL)",2697,11994,1569,1242,20.9
"COMMUNITY HEALTH OF SOUTH FLORIDA INC (MIAMI, FL)",1236,5479,1568,1261,19.6
"EMBRACING CHANGES CENTER FOR WELLNESS LLC (TAMPA, FL)",1519,6708,1567,1242,20.7
"WATERS MEDICAL CLINIC  LLC (TAMPA, FL)",1923,8635,1558,1235,20.8
"URGENT AND FAMILY CARE AT AVERY RANCH  LLP (AUSTIN, TX)",3431,17428,1555,1375,11.6
"CAREMORE ASPIRE PRIMARY CARE PARTNERS PC (TAMPA, FL)",2914,12869,1546,1230,20.5
"PALMA CEIA FAMILY CARE  P.L. (TAMPA, FL)",1337,5984,1541,1231,20.1
"TAMPA FAMILY HEALTH CENTERS INC (TAMPA, FL)",8085,36015,1537,1217,20.8
"CAL DEVON URGENT CARE INC (CHICAGO, IL)",3966,24901,1535,1434,6.5
"ACCESS CABRINI HEALTH CENTER (CHICAGO, IL)",2917,15004,1533,1459,4.8
"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS  INC (SAN FRANCISCO, CA)",12801,53042,1531,1302,15.0
"WELLNESS CARE MEDICAL GROUP A PROFESSIONAL CORPORATION (SAN FRANCISCO, CA)",3896,16099,1530,1304,14.8
"PACIFIC FAMILY PRACTICE MEDICAL GROUP A PROFESSIONAL CORPORATION (SAN FRANCISCO, CA)",2242,9348,1529,1299,15.0
"COMMUNITYCARE - OAK HILL (AUSTIN, TX)",6015,27856,1526,1389,8.9
"MOHANA URGENT CARE LTD (CHICAGO, IL)",1747,10871,1519,1409,7.2
"PLAZA MEDICAL CENTER (CHICAGO, IL)",1461,7562,1518,1452,4.4
"COURET MEDICAL & URGENT CARE S.C. (FRANKLIN PARK, IL)",4413,25283,1518,1418,6.6
"PRECISION HEALTHCARE ASSOCIATES (SAN FRANCISCO, CA)",2491,10450,1517,1286,15.2
"NORTH EAST MEDICAL SERVICES (SAN FRANCISCO, CA)",28978,120610,1517,1291,14.9
"KEY BISCAYNE MEDICAL CENTER INC (MIAMI, FL)",1658,7428,1515,1211,20.1
"STRATEGIC WELLNESS INC (SAN FRANCISCO, CA)",6059,25150,1511,1287,14.8
"MISSION AREA HEALTH ASSOCIATES (SAN FRANCISCO, CA)",5334,22223,1507,1283,14.8
"ACCESS AT EYE INSTITUTE (CHICAGO, IL)",3779,17347,1505,1422,5.5
"EXPRESS URGENT CARE LLC (CHICAGO RIDGE, IL)",1879,11697,1502,1402,6.7
"LINCOLN LEMINGTON FAMILY HEALTH CENTER (PITTSBURGH, PA)",1662,7189,1501,1473,1.9
"URGENT WELLNESS LLC (WASHINGTON, DC)",5118,30196,1501,1383,7.8
"DISTRICT URGENT CARE PROFESSIONAL CORPORATION (WASHINGTON, DC)",5138,29231,1497,1383,7.6
"PRIMARY URGENT CARE LLC (CHICAGO, IL)",4786,29036,1497,1395,6.8
"PARKSIDE FAMILY MEDICAL GROUP APC (SAN FRANCISCO, CA)",2141,8793,1494,1272,14.9
"MARIN CITY HEALTH AND WELLNESS CENTER (SAN FRANCISCO, CA)",2033,8402,1494,1269,15.1
"JIMENEZ MEDICAL CENTER  INC. (MIAMI, FL)",1076,4795,1490,1175,21.2
"TAMPA INTERNIST PROFESSIONAL ASSOCIATE (TAMPA, FL)",1087,4808,1486,1190,19.9
"MARIN CITY HEALTH AND WELLNESS CENTER (SAUSALITO, CA)",2155,8934,1486,1262,15.1
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT SOUTH SHORE LLC (CHICAGO, IL)",1483,8389,1485,1376,7.4
"GRAND HARLEM MEDICAL CENTER URGENT CARE LLC (ELMWOOD PARK, IL)",4855,27933,1475,1382,6.3
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT MADISON LTD (CHICAGO, IL)",9213,55066,1472,1375,6.6
"CARE ALLIANCE (CLEVELAND, OH)",35455,154851,1470,1678,-14.1
"SDM 1 STOP PRIMARY & URGENT CARE (WASHINGTON, DC)",5048,27497,1470,1352,8.1
"URGENT CARE MEDICAL SERVICE CORPORATION (CHICAGO, IL)",1763,10989,1464,1365,6.7
"MISSION NEIGHBORHOOD HEALTH CENTER (SAN FRANCISCO, CA)",1411,5781,1464,1261,13.8
"CARECENTRICS URGENT CARE LLC (MORTON GROVE, IL)",2924,16977,1455,1363,6.3
"GERALD FAMILY CARE (WASHINGTON, DC)",1105,4781,1451,1264,12.9
"FOXHALL INTERNISTS PC (WASHINGTON, DC)",1374,5853,1439,1259,12.5
"RS DAVIS HEALTH & WELLNESS LLC (WASHINGTON, DC)",1299,5553,1437,1254,12.8
"SOUTH LOOP URGENT CARE LLC (CHICAGO, IL)",13693,83718,1432,1335,6.8
"UTAH CARENOW URGENT CARE LLC (WEST JORDAN, UT)",3747,19471,1432,1360,5.0
"FAMILYDOC URGENT CARE LLC (CHICAGO, IL)",2455,15094,1432,1336,6.7
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER  INC. (SAN FRANCISCO, CA)",1214,5052,1432,1217,15.0
"NORTHWEST MEDICAL AND URGENT CARE CENTER AT YALE AND 95TH LTD (CHICAGO, IL)",6505,39050,1429,1340,6.3
"DCHC EASTSIDE HEALTH CENTER (DETROIT, MI)",1810,8181,1427,1451,-1.7
"URGENT MEDICAL CENTER SC (CHICAGO, IL)",1727,10169,1423,1336,6.1
"BODY CONNECT HEALTH AND WELLNESS  LLC (WASHINGTON, DC)",3446,15002,1421,1235,13.0
"URGENT MD LLC (HERMITAGE, TN)",1591,8486,1417,1445,-2.0
"MARYS CENTER FOR MATERNAL & CHILD CARE (WASHINGTON, DC)",1477,6228,1407,1224,13.0
"NORTHWEST COMMUNITY HEALTH CENTER (SALT LAKE CITY, UT)",2363,11571,1405,1390,1.1
"UNITY HEALTH CARE INC (WASHINGTON, DC)",18287,78254,1402,1224,12.7
"NORWOOD CENTER (CLEVELAND, OH)",4664,19340,1394,1596,-14.5
"MEDSTAR GEORGETOWN MEDICAL CENTER  INC (WASHINGTON, DC)",5316,22816,1392,1223,12.1
"SOME INC (WASHINGTON, DC)",1525,6527,1389,1206,13.2
"COLLINWOOD CENTER (CLEVELAND, OH)",14110,63800,1384,1565,-13.1
"PRESTIGE HEALTHCARE RESOURCES INC (WASHINGTON, DC)",1155,4954,1379,1211,12.1
"FAMILY MEDICAL URGENT CARE PLLC (NASHVILLE, TN)",1995,11032,1377,1405,-2.0
"CAPITAL INTERNAL MEDICINE & GERIATRICS LLC (WASHINGTON, DC)",1879,8111,1377,1207,12.3
"STEEL CITY URGENT CARE PHYSICIANS  LLC (PITTSBURGH, PA)",3106,20868,1377,1398,-1.5
"CAPITOL HILL COMMUNITY HEALTH CENTER (WASHINGTON, DC)",1332,5732,1375,1202,12.6
"WEST END HLTH CTR (PITTSBURGH, PA)",1400,6777,1374,1402,-2.1
"MILES SQUARE HEALTH CENTER (CHICAGO, IL)",1024,4866,1372,1320,3.8
"PRIMARY CARE AT HOME (WASHINGTON, DC)",1372,5849,1370,1203,12.2
"EVANSTON ROGERS PARK FAMILY HEALTH CENTER (CHICAGO, IL)",2449,10776,1370,1315,4.0
"STEEL VALLEY URGENT CARE (PITTSBURGH, PA)",4219,28668,1365,1387,-1.6
"NEW LIVING HEALTHCARE SERVICES LLC (WASHINGTON, DC)",1547,6616,1363,1191,12.6
"GLC WELLNESS CENTER CHICAGO (CHICAGO, IL)",1040,4669,1362,1293,5.1
"JENCARE NEIGHBORHOOD MEDICAL CENTER EVERGREEN PARK LLC (CHICAGO, IL)",2037,9041,1346,1293,3.9
"PRECISION IMMEDIATE CARE AND MEDICAL CENTER LLC (STONE PARK, IL)",2700,12044,1345,1294,3.8
"POWERS FAMILY WELLNESS PLLC (AUSTIN, TX)",1409,6175,1343,1249,7.0
"WELLMAX MEDICAL CENTER INC (CHICAGO, IL)",1669,7341,1341,1286,4.1
"PHYSICIANS' URGENT CARE  PLLC (FRANKLIN, TN)",1350,8025,1337,1381,-3.3
"SOUTHEAST CENTER (CLEVELAND, OH)",11329,53632,1335,1511,-13.1
"HEALTHY HEARTS & WELLNESS LLC (CHICAGO, IL)",2438,11036,1333,1286,3.5
"FAMILY ELDERCARE  INC. (AUSTIN, TX)",1620,7235,1329,1234,7.2
"ENDEAVOR CLINICAL HEALTHCARE SERVICES (CHICAGO, IL)",1770,7851,1327,1270,4.3
"WASATCH HOMELESS HEALTH CARE (SALT LAKE CITY, UT)",1491,7165,1320,1317,0.2
"PRESENCE RESURRECTION MEDICAL CENTER (CHICAGO, IL)",2103,9360,1320,1273,3.5
"CENTRAL TEXAS COMMUNITY HEALTH CENTERS (BUDA, TX)",1688,7388,1319,1225,7.1
